#,Пара,Dir,TF,Entry_Z,Current_Z,Entry_HR,Current_HR,HR_Drift_%,P&L_%,Hours_In,HL_hours,Hurst,P-value,Z_Toward_Zero,Exit_Signal,Entry_Time,Entry_P1,Entry_P2,Now_P1,Now_P2
317,SUI/MNT,SHORT,1h,1.7492,-2.70744397972119,0.969737,0.5958077320697399,38.6,0.2727,8.6,2.3,0.332,0.1779,True,⏰ В позиции 9ч = 3.8x HL (2ч). Коинтегра,2026-03-27T01:24:20.158413+03:00,0.9276,0.6971,0.9206,0.7012
319,LINK/LTC,SHORT,1h,2.003,-0.8703340790386862,0.190066,0.24825913201262553,30.6,-0.1337,6.9,0.6,0.067,0.1467,True,⏰ В позиции 7ч = 11.3x HL (1ч). Коинтегр,2026-03-27T03:03:20.930223+03:00,8.908,54.48,8.895,54.97
320,ONDO/SUPER,SHORT,1h,3.1041,0.21131154702814897,2.122476,1.2333840382375352,41.9,-2.6297,5.3,3.2,0.222,0.29,True,⏰ В позиции 5ч = 1.6x HL. Если Z не верн,2026-03-27T04:42:21.637116+03:00,0.2795,0.11659,0.2869,0.11422
321,LINK/LIT,SHORT,1h,2.1608,-0.3756069677828299,2.380812,1.5684413063349254,34.1,-1.3776,3.6,2.1,0.273,0.6385,True,⏰ В позиции 4ч = 1.7x HL. Если Z не верн,2026-03-27T06:22:22.470894+03:00,8.943,0.8924,8.895,0.878
322,ASTER/DYDX,LONG,1h,-2.3982,-1.996836222441298,3.14194,1.9007985901136215,39.5,-0.822,1.1,2.2,0.212,0.7101,True,,2026-03-27T08:53:23.575823+03:00,0.6691,0.09294,0.666,0.09332
