#,Пара,Dir,TF,Entry_Z,Current_Z,Entry_HR,Current_HR,HR_Drift_%,P&L_%,Hours_In,HL_hours,Hurst,P-value,Z_Toward_Zero,Exit_Signal,Entry_Time,Entry_P1,Entry_P2,Now_P1,Now_P2
310,AXS/LIT,LONG,4h,-2.8035,-0.911323377260153,0.220764,0.22710426499440878,2.9,-1.7264,11.7,6.1,0.19,0.0044,True,⏰ В позиции 12ч = 1.9x HL. Если Z не вер,2026-03-26T06:35:56.938090+03:00,1.101,0.9916,1.0705,0.9399
312,BNB/BCH,LONG,4h,-1.7605,-0.838695646407463,0.787518,0.5122524114724747,35.0,-0.9397,11.6,3.0,0.096,0.0003,True,⏰ В позиции 12ч = 3.9x HL (3ч). Коинтегр,2026-03-26T06:36:56.993212+03:00,642.1,470.7,625.7,461.2
313,LINK/BARD,LONG,4h,-3.5029,-4.1611002194155775,1.124337,1.1403537035625768,1.4,0.3039,8.7,8.3,0.213,0.0168,False,⏳ В позиции 9ч = 1.1x HL. Следите за Z. ,2026-03-26T09:34:58.348558+03:00,9.092,0.4329,8.895,0.4188
314,ADA/POL,LONG,4h,-1.6971,-0.8028786240401912,1.936443,1.842072289666882,4.9,0.2675,7.6,9.0,0.309,0.0028,True,,2026-03-26T10:40:30.574168+03:00,0.2617,0.09596,0.255,0.09372
315,DOGE/DYDX,LONG,4h,-3.9553,-2.192250675604419,0.649829,0.6329344041658985,2.6,-1.2709,7.6,11.8,0.211,0.0015,True,,2026-03-26T10:40:34.613334+03:00,0.09259,0.08701,0.0909,0.08649
316,LINK/INJ,LONG,4h,-2.1953,-1.8991175026003535,2.071517,2.042798128624275,1.4,-0.0219,7.6,4.1,0.128,0.04,True,⏰ В позиции 8ч = 1.9x HL. Если Z не верн,2026-03-26T10:40:36.113366+03:00,9.098,2.992,8.895,2.943
