#,Пара,Dir,TF,Entry_Z,Current_Z,Entry_HR,Current_HR,HR_Drift_%,P&L_%,Hours_In,HL_hours,Hurst,P-value,Z_Toward_Zero,Exit_Signal,Entry_Time,Entry_P1,Entry_P2,Now_P1,Now_P2
274,DOT/TON,SHORT,4h,2.3723,0.9337202708689939,0.820819,0.8264353042340188,0.7,0.0839,12.8,9.4,0.22,0.0141,True,⏳ В позиции 13ч = 1.4x HL. Следите за Z.,2026-03-25T00:45:47.415563+03:00,1.3878,1.3149,1.3916,1.3334
275,ADA/KAITO,SHORT,4h,3.9817,1.541777889523025,0.462775,0.46795738418224425,1.1,-1.7997,11.8,9.6,0.315,0.0026,True,⏳ В позиции 12ч = 1.2x HL. Следите за Z.,2026-03-25T01:42:47.727012+03:00,0.2664,0.3968,0.2726,0.3992
276,ADA/POL,SHORT,4h,1.9305,1.6362097603760015,2.013554,2.0767981566070226,3.1,-0.6341,11.8,8.3,0.296,0.0044,True,⏳ В позиции 12ч = 1.4x HL. Следите за Z.,2026-03-25T01:42:48.033638+03:00,0.2664,0.09559,0.2726,0.09636
277,ICP/ATOM,SHORT,4h,2.5256,2.0592399731296376,0.867418,0.8616117447259272,0.7,-0.0357,11.9,5.7,0.098,0.04,True,📉 Best Z (since entry): -0.58 → now +2.0,2026-03-25T01:42:48.327516+03:00,2.406,1.7865,2.404,1.7988
279,LTC/XMR,SHORT,4h,2.5702,0.11899479056932417,0.101213,0.09946760532598055,1.7,-0.7928,10.9,2.8,0.306,0.0044,True,📉 Best Z (since entry): -1.89 → now +0.1,2026-03-25T02:39:48.449336+03:00,56.24,341.94,56.44,339.34
280,XRP/TON,SHORT,4h,2.0129,0.3559616195264219,0.803592,0.8150795616435179,1.4,-0.2959,10.9,6.0,0.26,0.0014,True,✅ MEAN REVERT (static Z) — закрывать!,2026-03-25T02:39:48.779173+03:00,1.4119,1.321,1.4199,1.3334
284,GAS/AXS,LONG,4h,-1.9016,-0.8471313824947471,0.467257,0.4641561032969686,0.7,-0.4209,3.7,5.7,0.194,0.0032,True,⚠️ ЛОЖНОЕ СХОЖДЕНИЕ: Z→0 но P&L=-0.42%. ,2026-03-25T09:51:51.604030+03:00,1.5947,1.1094,1.6018,1.1207
285,ONDO/DUSK,SHORT,4h,2.0684,2.447532896088676,0.67611,0.6844504364773292,1.2,-1.3032,3.7,11.1,0.236,0.0106,False,,2026-03-25T09:51:52.018946+03:00,0.2574,0.12036,0.2604,0.11974
286,ONDO/ATOM,SHORT,4h,1.8328,-0.10798563207790188,0.120046,0.1204447499100376,0.3,-0.5994,2.7,6.3,0.186,0.0063,True,🎯 Z пересёк 0 (сейчас -0.11). Можно зафи,2026-03-25T10:54:52.564069+03:00,0.2597,1.7919,0.2604,1.7988
287,SUI/DUSK,SHORT,4h,1.7404,1.6889703737701556,2.678546,2.682887578692213,0.2,-0.9257,2.7,10.1,0.208,0.0039,True,,2026-03-25T10:54:53.161503+03:00,0.9599,0.12054,0.9614,0.11974
