#,Пара,Dir,TF,Основание,Entry_Z,Entry_HR,Stop_Z,Entry_Time,Entry_Price1,Entry_Price2,Current_Z,Current_HR,P&L_%,Hours_In,HL_hours,Price1_Now,Price2_Now,Hurst,Correlation,P-value,Z_Window,Exit_Signal,Exit_Urgency,Z_Toward_Zero,PnL_Z_Disagree,Quality_Warnings
284,GAS/AXS,LONG,4h,🤖,-1.9016,0.467257,4.0,2026-03-25T09:51,1.5947,1.1094,0.0357,0.4606,-0.0896,10.4,5.7,1.6113,1.1233,0.2095,0.3633,0.008338,10,✅ MEAN REVERT (static Z) — закрывать!,2,True,True,
286,ONDO/ATOM,SHORT,4h,🤖,1.8328,0.120046,4.0,2026-03-25T10:54,0.2597,1.7919,0.2769,0.1242,-0.4927,9.4,6.0,0.2595,1.7649,0.1974,0.7079,0.004282,10,⏰ В позиции 9ч = 1.6x HL. Если Z не вернулся — рассмотрите выход.,2,True,True,
288,DOGE/KAS,LONG,4h,🤖,-1.951,2.690291,4.0,2026-03-25T16:27,0.09712,0.03869,-0.2632,2.0446,-0.3057,3.8,12.0,0.09631,0.03852,0.2756,0.2701,0.0005,10,,0,True,True,
290,LINK/ZRO,SHORT,4h,🤖,2.11,1.408576,4.109999999999999,2026-03-25T17:06,9.477,2.2102,1.4938,1.4054,-1.4387,3.2,6.0,9.397,2.1577,0.2102,0.4414,0.000978,10,,0,True,True,
291,ADA/HBAR,SHORT,4h,🤖,2.1161,2.840434,4.116099999999999,2026-03-25T18:09,0.2726,0.0952,0.761,2.7593,-0.791,2.1,9.5,0.271,0.0945,0.2886,0.8827,0.000533,10,,0,True,True,
292,ADA/SEI,SHORT,4h,🤖,3.5417,3.318972,5.5417000000000005,2026-03-25T18:09,0.2726,0.06075,-0.6963,3.3412,-0.0364,2.1,8.1,0.271,0.06093,0.2508,0.7749,0.019006,10,🎯 Z пересёк 0 (сейчас -0.70). Можно зафиксировать или подождать overshoot.,1,True,True,
294,LTC/BARD,LONG,4h,🤖,-2.4924,3.567231,4.4924,2026-03-25T19:06,55.88,0.457,-1.0573,3.5883,-0.464,1.2,8.0,56.24,0.4582,0.1833,0.3226,0.000137,10,⚠️ ЛОЖНОЕ СХОЖДЕНИЕ: Z→0 но P&L=-0.46%. σ спреда выросла. Ждите реального возврата цен.,1,True,True,
295,LTC/BCH,LONG,4h,🤖,-2.7131,0.099426,4.7131,2026-03-25T19:06,55.88,475.1,1.153,0.0957,0.1822,1.2,2.9,56.24,475.3,0.2096,0.7308,0.000156,10,✅ OVERSHOOT (static Z) — фиксировать прибыль!,2,True,False,
296,XRP/ETHFI,LONG,4h,🤖,-2.0271,1.68701,4.0271,2026-03-25T19:06,1.4049,0.5537,-0.8502,1.6776,-0.5615,1.2,8.2,1.4125,0.5569,0.2775,0.5423,0.00302,10,,0,True,True,
297,DOGE/POL,LONG,4h,🤖,-2.1866,0.792459,4.1866,2026-03-25T20:06,0.09666,0.09922,-1.3329,0.7933,-0.0361,0.2,8.7,0.09631,0.09795,0.2366,0.6658,0.000979,10,✅ MEAN REVERT (static Z) — закрывать!,2,True,False,
298,VIRTUAL/XPL,LONG,4h,🤖,-2.205,4.196229,4.205,2026-03-25T20:06,0.7411,0.1006,-2.6967,4.1951,0.1556,0.2,7.6,0.7356,0.09973,0.231,0.7663,0.016178,10,✅ MEAN REVERT (static Z) — закрывать!,2,False,True,
