#,Пара,Dir,TF,Основание,Entry_Z,Entry_HR,Stop_Z,Entry_Time,Entry_Price1,Entry_Price2,Current_Z,Current_HR,P&L_%,Hours_In,HL_hours,Price1_Now,Price2_Now,Hurst,Correlation,P-value,Z_Window,Exit_Signal,Exit_Urgency,Z_Toward_Zero,PnL_Z_Disagree,Quality_Warnings
338,ETC/ZRO,SHORT,1h,🤖,3.2446,1.365053,5.2446,2026-03-30T06:34,8.15,2.0208,-0.0769,1.3069,-1.2985,3.7,1.4,8.234,2.0046,0.287,0.5875,0.352922,10,⏰ В позиции 4ч = 2.7x HL (1ч). Коинтеграция могла разрушиться. СРОЧНЫЙ ВЫХОД. | 🎯 Z пересёк 0 (сейчас -0.08). Можно зафиксировать или подождать overshoot.,3,True,True,⚠️ P-value=0.353 — коинтеграция ослабла!
339,ETH/RIVER,SHORT,1h,🤖,3.7195,0.774605,5.7195,2026-03-30T08:23,2048.38,14.024,-0.7006,-7.6082,-2.6642,1.9,0.7,2046.17,13.277,0.1698,0.1933,0.055594,10,📉 Best Z (since entry): -2.39 → now -0.70 (bounce ≥0.8). Z-trailing stop. | ⏰ В позиции 2ч = 2.6x HL (1ч). Коинтеграция могла разрушиться. СРОЧНЫЙ ВЫХОД.,3,True,True,⚠️ Корреляция ρ=0.19 < 0.2 — хедж не работает!
340,ETC/ATOM,SHORT,1h,🤖,3.6898,3.019801,5.6898,2026-03-30T09:19,8.203,1.6697,-0.4084,3.5795,-0.3154,0.9,1.4,8.23,1.6734,0.1887,0.7266,0.45265,10,🎯 Z пересёк 0 (сейчас -0.41). Можно зафиксировать или подождать overshoot.,1,True,True,⚠️ P-value=0.453 — коинтеграция ослабла!
341,HBAR/SEI,SHORT,1h,🤖,2.4652,1.101783,4.465199999999999,2026-03-30T09:19,0.08969,0.0531,-0.1362,0.9708,-0.1252,1.0,2.1,0.0896,0.05333,0.2365,0.616,0.395637,10,✅ MEAN REVERT (static Z) — закрывать!,2,True,True,⚠️ P-value=0.396 — коинтеграция ослабла!
