#,Пара,Dir,TF,Основание,Entry_Z,Entry_HR,Stop_Z,Entry_Time,Entry_Price1,Entry_Price2,Current_Z,Current_HR,P&L_%,Hours_In,HL_hours,Price1_Now,Price2_Now,Hurst,Correlation,P-value,Z_Window,Exit_Signal,Exit_Urgency,Z_Toward_Zero,PnL_Z_Disagree,Quality_Warnings
267,XRP/TON,LONG,4h,🤖,-3.7589,0.818034,5.758900000000001,2026-03-24T06:58,1.4104,1.3347,-1.0646,0.8032,-0.8561,14.5,6.3,1.3879,1.3222,0.2667,0.365,0.003101,10,📉 Best Z (since entry): +1.32 → now -1.06 (bounce ≥0.8). Z-trailing stop. | ⏰ В позиции 15ч = 2.3x HL (6ч). Коинтеграция могла разрушиться. СРОЧНЫЙ ВЫХОД.,3,True,True,
268,DOGE/STRK,LONG,4h,🤖,-2.9152,1.893027,4.9152000000000005,2026-03-24T08:57,0.09355,0.03659,-2.1395,1.8445,-0.3823,12.5,9.9,0.09263,0.03639,0.21,0.5833,0.002403,10,⚠️ Позиция открыта 12.5ч (лимит 16ч),1,True,False,
269,LTC/AAVE,SHORT,4h,🤖,2.095,0.390275,4.095000000000001,2026-03-24T10:15,55.64,109.21,0.8303,0.3973,-0.5722,11.2,2.6,55.64,108.54,0.085,0.7515,0.035218,10,📉 Best Z (since entry): -1.59 → now +0.83 (bounce ≥0.8). Z-trailing stop. | ⏰ В позиции 11ч = 4.4x HL (3ч). Коинтеграция могла разрушиться. СРОЧНЫЙ ВЫХОД.,3,True,True,
270,XRP/ETHFI,LONG,4h,🤖,-3.8153,1.735799,5.815300000000001,2026-03-24T10:15,1.413,0.5336,-2.8377,1.7317,0.33,11.2,8.1,1.3879,0.522,0.2405,0.5092,0.001824,10,⏳ В позиции 11ч = 1.4x HL. Следите за Z.,1,True,False,
271,AVAX/BARD,LONG,4h,🤖,-1.8346,1.144955,4.0,2026-03-24T20:12,9.406,0.4715,-1.8734,1.1459,0.0146,1.3,9.0,9.396,0.4674,0.236,0.4292,0.025328,10,✅ MEAN REVERT (static Z) — закрывать!,2,False,True,
272,UNI/IP,LONG,4h,🤖,-1.9376,2.427072,4.0,2026-03-24T20:12,3.556,0.6366,-1.9572,2.4265,-0.0845,1.3,5.8,3.547,0.6331,0.2762,0.3207,0.026405,10,,0,False,False,
273,DOGE/MON,LONG,4h,🤖,-2.0224,3.415974,4.0224,2026-03-24T20:38,0.09302,0.02235,-2.6007,3.4154,-0.9691,0.8,10.1,0.09263,0.022487,0.1904,0.5324,0.003953,10,,0,False,False,
