#,Пара,Dir,TF,Основание,Entry_Z,Entry_HR,Stop_Z,Entry_Time,Entry_Price1,Entry_Price2,Current_Z,Current_HR,P&L_%,Hours_In,HL_hours,Price1_Now,Price2_Now,Hurst,Correlation,P-value,Z_Window,Exit_Signal,Exit_Urgency,Z_Toward_Zero,PnL_Z_Disagree,Quality_Warnings
291,ADA/HBAR,SHORT,4h,🤖,2.1161,2.840434,4.116099999999999,2026-03-25T18:09,0.2726,0.0952,-2.0343,2.5087,-1.876,16.1,10.2,0.2617,0.09196,0.3009,0.9114,0.007361,10,⏰ В позиции 16ч = 1.6x HL. Если Z не вернулся — рассмотрите выход. | 🎯 OVERSHOOT: Z пересёк 0 и достиг -2.03. P&L=-1.88%. ФИКСИРУЙТЕ ПРИБЫЛЬ!,2,True,True,
297,DOGE/POL,LONG,4h,🤖,-2.1866,0.792459,4.1866,2026-03-25T20:06,0.09666,0.09922,-1.8988,0.7532,-1.3259,14.1,9.1,0.09257,0.096,0.2473,0.6434,0.002617,10,⏰ В позиции 14ч = 1.6x HL. Если Z не вернулся — рассмотрите выход.,2,True,True,
298,VIRTUAL/XPL,LONG,4h,🤖,-2.205,4.196229,4.205,2026-03-25T20:06,0.7411,0.1006,-3.5535,4.1676,0.7273,14.1,7.7,0.6995,0.09785,0.2301,0.7811,0.01135,10,⏰ В позиции 14ч = 1.8x HL. Если Z не вернулся — рассмотрите выход. | 💰 P&L достигал +1.30%. Текущий: +0.73%. Рассмотрите фиксацию.,2,False,True,
299,CRV/HBAR,SHORT,4h,🤖,2.6316,2.577033,4.631600000000001,2026-03-25T21:05,0.2397,0.09475,-2.2224,2.3122,-0.8653,13.1,9.8,0.2255,0.09196,0.3079,0.7709,0.007629,10,⏳ В позиции 13ч = 1.3x HL. Следите за Z. | 🎯 OVERSHOOT: Z пересёк 0 и достиг -2.22. P&L=-0.87%. ФИКСИРУЙТЕ ПРИБЫЛЬ!,2,True,True,
300,LDO/ETHFI,LONG,4h,🤖,-2.6976,0.437895,4.6975999999999996,2026-03-25T21:05,0.2993,0.5585,0.3809,0.4296,-0.6446,13.1,8.8,0.2917,0.5306,0.2642,0.5725,5.1e-05,10,⏳ В позиции 13ч = 1.5x HL. Следите за Z. | 🎯 Z пересёк 0 (сейчас +0.38). Можно зафиксировать или подождать overshoot.,2,True,True,
301,ICP/ATOM,SHORT,4h,🤖,3.8049,0.885427,5.8049,2026-03-25T22:06,2.41,1.7727,-1.141,0.882,-0.3742,12.1,5.7,2.349,1.723,0.1208,0.6545,0.023363,10,⏰ В позиции 12ч = 2.1x HL (6ч). Коинтеграция могла разрушиться. СРОЧНЫЙ ВЫХОД. | 🎯 OVERSHOOT: Z пересёк 0 и достиг -1.14. P&L=-0.37%. ФИКСИРУЙТЕ ПРИБЫЛЬ!,3,True,True,
302,LDO/IP,LONG,4h,🤖,-2.1248,0.258544,4.1248000000000005,2026-03-25T22:06,0.2991,0.646,-1.5077,0.2599,-2.0987,12.1,6.6,0.2917,0.6376,0.2383,0.4389,0.000113,10,⏰ В позиции 12ч = 1.8x HL. Если Z не вернулся — рассмотрите выход.,2,True,True,
303,SUI/NEAR,SHORT,4h,🤖,2.0546,0.565083,4.054600000000001,2026-03-25T22:33,0.9664,1.2745,-0.7641,0.5647,0.1811,11.7,5.9,0.9397,1.2327,0.2282,0.7052,0.004533,10,⏰ В позиции 12ч = 2.0x HL. Если Z не вернулся — рассмотрите выход. | 🎯 Z пересёк 0 (сейчас -0.76). Можно зафиксировать или подождать overshoot.,2,True,False,
304,SUI/VIRTUAL,SHORT,4h,🤖,4.0415,0.961508,6.0415,2026-03-25T23:34,0.9647,0.7246,1.0585,0.9551,-0.7768,10.7,7.0,0.9397,0.6995,0.1768,0.7468,0.001479,10,⏰ В позиции 11ч = 1.5x HL. Если Z не вернулся — рассмотрите выход.,2,True,True,
305,DOT/IP,LONG,4h,🤖,-2.1169,1.128618,4.116899999999999,2026-03-26T01:37,1.3513,0.649,-0.8509,1.113,-0.3726,8.6,9.8,1.3253,0.6376,0.2479,0.4554,0.046699,10,,0,True,True,
306,ONDO/MOODENG,SHORT,4h,🤖,2.3132,3.522711,4.3132,2026-03-26T01:37,0.2636,0.04948,1.7819,3.49,-2.3615,8.6,6.2,0.2624,0.04817,0.2312,0.733,0.000681,10,⏳ В позиции 9ч = 1.4x HL. Следите за Z.,1,True,True,
