#,Пара,Dir,TF,Entry_Z,Current_Z,Entry_HR,Current_HR,HR_Drift_%,P&L_%,Hours_In,HL_hours,Hurst,P-value,Z_Toward_Zero,Exit_Signal,Entry_Time,Entry_P1,Entry_P2,Now_P1,Now_P2
338,ETC/ZRO,SHORT,1h,3.2446,-0.719163710316395,1.365053,1.3101603625645961,4.0,-1.0416,3.1,1.3,0.286,0.3716,True,⏰ В позиции 3ч = 2.3x HL (1ч). Коинтегра,2026-03-30T06:34:05.780832+03:00,8.15,2.0208,8.201,2.0076
339,ETH/RIVER,SHORT,1h,3.7195,-1.6742291201209658,0.774605,-7.442936322937971,1060.9,-1.1502,1.2,0.7,0.169,0.084,True,⏰ В позиции 1ч = 1.7x HL. Если Z не верн,2026-03-30T08:23:06.647408+03:00,2048.38,14.024,2043.97,13.744
340,ETC/ATOM,SHORT,1h,3.6898,-1.2888053206105599,3.019801,3.556127938566,17.8,-0.3624,0.3,1.4,0.204,0.4592,True,🎯 OVERSHOOT: Z пересёк 0 и достиг -1.29.,2026-03-30T09:19:07.041998+03:00,8.203,1.6697,8.201,1.6704
341,HBAR/SEI,SHORT,1h,2.4652,-0.4044422510357444,1.101783,0.976528491492241,11.4,-0.2895,0.3,2.1,0.225,0.4091,True,✅ MEAN REVERT (static Z) — закрывать!,2026-03-30T09:19:09.628923+03:00,0.08969,0.0531,0.08937,0.05304
