#,Пара,Dir,TF,Entry_Z,Current_Z,Entry_HR,Current_HR,HR_Drift_%,P&L_%,Hours_In,HL_hours,Hurst,P-value,Z_Toward_Zero,Exit_Signal,Entry_Time,Entry_P1,Entry_P2,Now_P1,Now_P2
260,UNI/ATOM,SHORT,4h,3.4753,-1.6549918771189147,1.524089,1.5424650187706481,1.2,-0.0983,21.4,4.9,0.253,0.027,True,⏰ В позиции 21ч = 4.4x HL (5ч). Коинтегр,2026-03-23T22:17:29.884461+03:00,3.571,1.7618,3.554,1.7651
262,DYDX/SEI,LONG,4h,-2.6622,-0.567075799183335,1.659975,1.6863770182049727,1.6,-0.5459,19.5,7.6,0.298,0.003,True,⏰ В позиции 20ч = 2.6x HL (8ч). Коинтегр,2026-03-24T00:12:39.203333+03:00,0.0834,0.06035,0.0817,0.05975
265,LINK/NEAR,SHORT,4h,2.1671,-0.7789088605374086,4.496389,4.53101401965849,0.8,-2.7694,18.5,6.4,0.279,0.0004,True,⏰ В позиции 19ч = 2.9x HL (6ч). Коинтегр,2026-03-24T01:11:08.831298+03:00,9.161,1.3241,9.091,1.2835
267,XRP/TON,LONG,4h,-3.7589,-1.7399789355381572,0.818034,0.7986674141703511,2.4,-1.1563,12.8,6.3,0.267,0.0031,True,📉 Best Z (since entry): +1.32 → now -1.7,2026-03-24T06:58:22.084217+03:00,1.4104,1.3347,1.3917,1.3355
268,DOGE/STRK,LONG,4h,-2.9152,-1.1485421443191426,1.893027,1.8444289475314541,2.6,-0.1983,10.8,9.9,0.21,0.0025,True,⏳ В позиции 11ч = 1.1x HL. Следите за Z.,2026-03-24T08:57:56.215031+03:00,0.09355,0.03659,0.09337,0.03644
269,LTC/AAVE,SHORT,4h,2.095,0.4194812157935181,0.390275,0.3961316659005636,1.5,-0.5108,9.5,2.6,0.085,0.0349,True,📉 Best Z (since entry): -1.59 → now +0.4,2026-03-24T10:15:03.796629+03:00,55.64,109.21,55.67,108.93
270,XRP/ETHFI,LONG,4h,-3.8153,-2.9880868183698466,1.735799,1.7310141817660047,0.3,0.024,9.5,8.1,0.24,0.0018,True,⏳ В позиции 9ч = 1.2x HL. Следите за Z.,2026-03-24T10:15:28.365739+03:00,1.413,0.5336,1.3917,0.5254
