#,Пара,Dir,TF,Entry_Z,Current_Z,Entry_HR,Current_HR,HR_Drift_%,P&L_%,Hours_In,HL_hours,Hurst,P-value,Z_Toward_Zero,Exit_Signal,Entry_Time,Entry_P1,Entry_P2,Now_P1,Now_P2
267,XRP/TON,LONG,4h,-3.7589,-1.064601857513466,0.818034,0.8031996139661557,1.8,-0.8561,14.5,6.3,0.267,0.0031,True,📉 Best Z (since entry): +1.32 → now -1.0,2026-03-24T06:58:22.084217+03:00,1.4104,1.3347,1.3879,1.3222
268,DOGE/STRK,LONG,4h,-2.9152,-2.1395182207199595,1.893027,1.8444668173827834,2.6,-0.3823,12.5,9.9,0.21,0.0024,True,⚠️ Позиция открыта 12.5ч (лимит 16ч),2026-03-24T08:57:56.215031+03:00,0.09355,0.03659,0.09263,0.03639
269,LTC/AAVE,SHORT,4h,2.095,0.8302566251534932,0.390275,0.3972650566529808,1.8,-0.5722,11.2,2.6,0.085,0.0352,True,📉 Best Z (since entry): -1.59 → now +0.8,2026-03-24T10:15:03.796629+03:00,55.64,109.21,55.64,108.54
270,XRP/ETHFI,LONG,4h,-3.8153,-2.8377416950941226,1.735799,1.7317462505958177,0.2,0.33,11.2,8.1,0.24,0.0018,True,⏳ В позиции 11ч = 1.4x HL. Следите за Z.,2026-03-24T10:15:28.365739+03:00,1.413,0.5336,1.3879,0.522
271,AVAX/BARD,LONG,4h,-1.8346,-1.873428762759843,1.144955,1.145934262521757,0.1,0.0146,1.3,9.0,0.236,0.0253,False,✅ MEAN REVERT (static Z) — закрывать!,2026-03-24T20:12:57.124039+03:00,9.406,0.4715,9.396,0.4674
272,UNI/IP,LONG,4h,-1.9376,-1.9572288109992004,2.427072,2.4264944344572075,0.0,-0.0845,1.3,5.8,0.276,0.0264,False,,2026-03-24T20:12:57.468867+03:00,3.556,0.6366,3.547,0.6331
273,DOGE/MON,LONG,4h,-2.0224,-2.6006687338067596,3.415974,3.4153685662057693,0.0,-0.9691,0.8,10.1,0.19,0.004,False,,2026-03-24T20:38:57.342518+03:00,0.09302,0.02235,0.09263,0.022487
