#,Пара,Dir,TF,Основание,Entry_Z,Entry_HR,Stop_Z,Entry_Time,Entry_Price1,Entry_Price2,Current_Z,Current_HR,P&L_%,Hours_In,HL_hours,Price1_Now,Price2_Now,Hurst,Correlation,P-value,Z_Window,Exit_Signal,Exit_Urgency,Z_Toward_Zero,PnL_Z_Disagree,Quality_Warnings
275,ADA/KAITO,SHORT,4h,🤖,3.9817,0.462775,5.9817,2026-03-25T01:42,0.2664,0.3968,-0.4798,0.4696,-1.1123,15.9,9.5,0.2725,0.4075,0.329,0.3316,0.002642,10,⏰ В позиции 16ч = 1.7x HL. Если Z не вернулся — рассмотрите выход. | 🎯 Z пересёк 0 (сейчас -0.48). Можно зафиксировать или подождать overshoot.,2,True,True,
276,ADA/POL,SHORT,4h,🤖,1.9305,2.013554,4.0,2026-03-25T01:42,0.2664,0.09559,0.0247,2.063,-0.1812,15.9,8.3,0.2725,0.09699,0.325,0.7104,0.003953,10,⏰ В позиции 16ч = 1.9x HL. Если Z не вернулся — рассмотрите выход.,2,True,True,
277,ICP/ATOM,SHORT,4h,🤖,2.5256,0.867418,4.5256,2026-03-25T01:42,2.406,1.7865,4.6567,0.8716,-0.8375,15.9,5.7,2.419,1.7808,0.0951,0.6351,0.022444,10,📉 Best Z (since entry): -0.58 → now +4.66 (bounce ≥0.8). Z-trailing stop. | ⏰ В позиции 16ч = 2.8x HL (6ч). Коинтеграция могла разрушиться. СРОЧНЫЙ ВЫХОД.,3,False,False,
279,LTC/XMR,SHORT,4h,🤖,2.5702,0.101213,4.5702,2026-03-25T02:39,56.24,341.94,-0.7158,0.0977,-0.9527,15.0,2.8,56.56,340.6,0.332,0.3224,0.003294,10,📉 Best Z (since entry): -1.90 → now -0.72 (bounce ≥0.8). Z-trailing stop. | ⏰ В позиции 15ч = 5.4x HL (3ч). Коинтеграция могла разрушиться. СРОЧНЫЙ ВЫХОД.,3,True,True,
280,XRP/TON,SHORT,4h,🤖,2.0129,0.803592,4.0129,2026-03-25T02:39,1.4119,1.321,-0.3652,0.8089,0.0535,15.0,6.1,1.4171,1.3405,0.254,0.3755,0.002831,10,⏰ В позиции 15ч = 2.5x HL (6ч). Коинтеграция могла разрушиться. СРОЧНЫЙ ВЫХОД. | 🎯 Z пересёк 0 (сейчас -0.37). Можно зафиксировать или подождать overshoot.,3,True,True,
284,GAS/AXS,LONG,4h,🤖,-1.9016,0.467257,4.0,2026-03-25T09:51,1.5947,1.1094,-0.6824,0.4615,-0.7125,7.8,5.7,1.598,1.1252,0.1966,0.3614,0.007541,10,⚠️ ЛОЖНОЕ СХОЖДЕНИЕ: Z→0 но P&L=-0.71%. σ спреда выросла. Ждите реального возврата цен.,1,True,True,
286,ONDO/ATOM,SHORT,4h,🤖,1.8328,0.120046,4.0,2026-03-25T10:54,0.2597,1.7919,0.4378,0.122,-0.8789,6.8,6.1,0.2609,1.7808,0.1914,0.6995,0.007679,10,⏳ В позиции 7ч = 1.1x HL. Следите за Z.,1,True,True,
288,DOGE/KAS,LONG,4h,🤖,-1.951,2.690291,4.0,2026-03-25T16:27,0.09712,0.03869,-1.0042,2.4236,-0.8564,1.2,11.3,0.09724,0.03895,0.2815,0.2464,0.001824,10,,0,True,True,
289,VIRTUAL/XPL,LONG,4h,🤖,-2.6611,4.196285,4.661099999999999,2026-03-25T16:27,0.7404,0.10123,1.0075,4.203,0.2896,1.2,7.7,0.7522,0.10075,0.2392,0.7596,0.02076,10,✅ OVERSHOOT (static Z) — фиксировать прибыль!,2,True,False,
290,LINK/ZRO,SHORT,4h,🤖,2.11,1.408576,4.109999999999999,2026-03-25T17:06,9.477,2.2102,0.7507,1.3983,-0.1066,0.6,6.0,9.407,2.2097,0.2125,0.4385,0.002658,10,,0,True,True,
