#,Пара,Dir,TF,Основание,Entry_Z,Entry_HR,Stop_Z,Entry_Time,Entry_Price1,Entry_Price2,Current_Z,Current_HR,P&L_%,Hours_In,HL_hours,Price1_Now,Price2_Now,Hurst,Correlation,P-value,Z_Window,Exit_Signal,Exit_Urgency,Z_Toward_Zero,PnL_Z_Disagree,Quality_Warnings
304,SUI/VIRTUAL,SHORT,4h,🤖,4.0415,0.961508,6.0415,2026-03-25T23:34,0.9647,0.7246,0.0225,0.9504,-0.5769,15.9,7.0,0.9267,0.6923,0.1818,0.7785,0.005647,10,⏰ В позиции 16ч = 2.3x HL (7ч). Коинтеграция могла разрушиться. СРОЧНЫЙ ВЫХОД.,3,True,True,
305,DOT/IP,LONG,4h,🤖,-2.1169,1.128618,4.116899999999999,2026-03-26T01:37,1.3513,0.649,1.5467,1.1103,1.4133,13.8,9.9,1.3245,0.6154,0.218,0.4721,0.089809,10,✅ MEAN REVERT (static Z) — закрывать!,2,True,False,
309,LTC/BARD,LONG,4h,🤖,-2.1033,3.627999,4.1033,2026-03-26T05:36,56.17,0.4446,-2.3849,3.7109,3.7077,9.8,8.1,54.61,0.4179,0.1919,0.3318,0.000135,10,⏳ В позиции 10ч = 1.2x HL. Следите за Z. | 💰 P&L достигал +3.62%. Текущий: +3.71%. Рассмотрите фиксацию.,1,False,True,
310,AXS/LIT,LONG,4h,🤖,-2.8035,0.220764,4.8035,2026-03-26T06:35,1.101,0.9916,-0.4972,0.2269,-1.3084,8.9,6.1,1.077,0.9435,0.1903,0.3688,0.004299,10,⏳ В позиции 9ч = 1.5x HL. Следите за Z.,1,True,True,
312,BNB/BCH,LONG,4h,🤖,-1.7605,0.787518,4.0,2026-03-26T06:36,642.1,470.7,-0.3398,0.518,-0.7538,8.8,3.0,628.8,462.1,0.0962,0.7444,0.000278,10,⏰ В позиции 9ч = 2.9x HL (3ч). Коинтеграция могла разрушиться. СРОЧНЫЙ ВЫХОД.,3,True,True,
313,LINK/BARD,LONG,4h,🤖,-3.5029,1.124337,5.5029,2026-03-26T09:34,9.092,0.4329,-3.6376,1.1408,0.6159,5.9,8.2,8.934,0.4179,0.2129,0.4138,0.017685,10,,0,False,True,
314,ADA/POL,LONG,4h,🤖,-1.6971,1.936443,4.0,2026-03-26T10:40,0.2617,0.09596,-0.6008,1.8401,0.0347,4.8,9.0,0.2577,0.09457,0.3089,0.7532,0.002608,10,,0,True,True,
315,DOGE/DYDX,LONG,4h,🤖,-3.9553,0.649829,5.955299999999999,2026-03-26T10:40,0.09259,0.08701,-0.9912,0.6335,-0.3074,4.8,11.6,0.09139,0.08507,0.2113,0.6903,0.001436,10,,0,True,True,
316,LINK/INJ,LONG,4h,🤖,-2.1953,2.071517,4.1953,2026-03-26T10:40,9.098,2.992,-1.8901,2.0408,-0.3106,4.8,4.1,8.934,2.962,0.1281,0.7666,0.041203,10,⏳ В позиции 5ч = 1.2x HL. Следите за Z.,1,True,False,
