#,Пара,Dir,TF,Основание,Entry_Z,Entry_HR,Stop_Z,Entry_Time,Entry_Price1,Entry_Price2,Current_Z,Current_HR,P&L_%,Hours_In,HL_hours,Price1_Now,Price2_Now,Hurst,Correlation,P-value,Z_Window,Exit_Signal,Exit_Urgency,Z_Toward_Zero,PnL_Z_Disagree,Quality_Warnings
310,AXS/LIT,LONG,4h,🤖,-2.8035,0.220764,4.8035,2026-03-26T06:35,1.101,0.9916,-0.9113,0.2271,-1.7264,11.7,6.1,1.0705,0.9399,0.1903,0.3703,0.004356,10,⏰ В позиции 12ч = 1.9x HL. Если Z не вернулся — рассмотрите выход.,2,True,True,
312,BNB/BCH,LONG,4h,🤖,-1.7605,0.787518,4.0,2026-03-26T06:36,642.1,470.7,-0.8387,0.5123,-0.9397,11.6,3.0,625.7,461.2,0.0962,0.7429,0.000293,10,⏰ В позиции 12ч = 3.9x HL (3ч). Коинтеграция могла разрушиться. СРОЧНЫЙ ВЫХОД.,3,True,True,
313,LINK/BARD,LONG,4h,🤖,-3.5029,1.124337,5.5029,2026-03-26T09:34,9.092,0.4329,-4.1611,1.1404,0.3039,8.7,8.3,8.895,0.4188,0.2129,0.4123,0.016772,10,⏳ В позиции 9ч = 1.1x HL. Следите за Z. | 💰 P&L упал с пика +0.89% до +0.30%. Фиксируйте остаток прибыли.,2,False,True,
314,ADA/POL,LONG,4h,🤖,-1.6971,1.936443,4.0,2026-03-26T10:40,0.2617,0.09596,-0.8029,1.8421,0.2675,7.6,9.0,0.255,0.09372,0.3089,0.7536,0.002763,10,,0,True,False,
315,DOGE/DYDX,LONG,4h,🤖,-3.9553,0.649829,5.955299999999999,2026-03-26T10:40,0.09259,0.08701,-2.1923,0.6329,-1.2709,7.6,11.8,0.0909,0.08649,0.2113,0.6653,0.001531,10,,0,True,True,
316,LINK/INJ,LONG,4h,🤖,-2.1953,2.071517,4.1953,2026-03-26T10:40,9.098,2.992,-1.8991,2.0428,-0.0219,7.6,4.1,8.895,2.943,0.1281,0.7669,0.040043,10,⏰ В позиции 8ч = 1.9x HL. Если Z не вернулся — рассмотрите выход.,2,True,False,
