#,Пара,Dir,TF,Основание,Entry_Z,Entry_HR,Stop_Z,Entry_Time,Entry_Price1,Entry_Price2,Current_Z,Current_HR,P&L_%,Hours_In,HL_hours,Price1_Now,Price2_Now,Hurst,Correlation,P-value,Z_Window,Exit_Signal,Exit_Urgency,Z_Toward_Zero,PnL_Z_Disagree,Quality_Warnings
338,ETC/ZRO,SHORT,1h,🤖,3.2446,1.365053,5.2446,2026-03-30T06:34,8.15,2.0208,-0.6945,1.3022,-1.3532,3.5,1.4,8.206,1.9976,0.287,0.5844,0.357532,10,⏰ В позиции 3ч = 2.6x HL (1ч). Коинтеграция могла разрушиться. СРОЧНЫЙ ВЫХОД. | 🎯 Z пересёк 0 (сейчас -0.69). Можно зафиксировать или подождать overshoot.,3,True,True,⚠️ P-value=0.358 — коинтеграция ослабла!
339,ETH/RIVER,SHORT,1h,🤖,3.7195,0.774605,5.7195,2026-03-30T08:23,2048.38,14.024,-1.1326,-7.8229,-2.0617,1.7,0.7,2041.69,13.431,0.1698,0.1986,0.054651,10,📉 Best Z (since entry): -2.39 → now -1.13 (bounce ≥0.8). Z-trailing stop. | ⏰ В позиции 2ч = 2.3x HL (1ч). Коинтеграция могла разрушиться. СРОЧНЫЙ ВЫХОД.,3,True,True,⚠️ Корреляция ρ=0.20 < 0.2 — хедж не работает!
340,ETC/ATOM,SHORT,1h,🤖,3.6898,3.019801,5.6898,2026-03-30T09:19,8.203,1.6697,-0.9992,3.5745,-0.3596,0.7,1.4,8.206,1.6708,0.1887,0.7255,0.445099,10,🎯 Z пересёк 0 (сейчас -1.00). Можно зафиксировать или подождать overshoot.,1,True,True,⚠️ P-value=0.445 — коинтеграция ослабла!
341,HBAR/SEI,SHORT,1h,🤖,2.4652,1.101783,4.465199999999999,2026-03-30T09:19,0.08969,0.0531,-0.5697,0.9708,-0.0677,0.7,2.1,0.08938,0.05327,0.2365,0.6145,0.38486,10,✅ MEAN REVERT (static Z) — закрывать!,2,True,True,⚠️ P-value=0.385 — коинтеграция ослабла!
