#,Пара,Dir,TF,Основание,Entry_Z,Entry_HR,Stop_Z,Entry_Time,Entry_Price1,Entry_Price2,Current_Z,Current_HR,P&L_%,Hours_In,HL_hours,Price1_Now,Price2_Now,Hurst,Correlation,P-value,Z_Window,Exit_Signal,Exit_Urgency,Z_Toward_Zero,PnL_Z_Disagree,Quality_Warnings
274,DOT/TON,SHORT,4h,🤖,2.3723,0.820819,4.3723,2026-03-25T00:45,1.3878,1.3149,0.9337,0.8264,0.0839,12.8,9.4,1.3916,1.3334,0.2205,0.28,0.014125,10,⏳ В позиции 13ч = 1.4x HL. Следите за Z. | 💰 P&L упал с пика +0.55% до +0.08%. Фиксируйте остаток прибыли.,2,True,True,
275,ADA/KAITO,SHORT,4h,🤖,3.9817,0.462775,5.9817,2026-03-25T01:42,0.2664,0.3968,1.5418,0.468,-1.7997,11.8,9.6,0.2726,0.3992,0.3146,0.3301,0.002631,10,⏳ В позиции 12ч = 1.2x HL. Следите за Z.,1,True,True,
276,ADA/POL,SHORT,4h,🤖,1.9305,2.013554,4.0,2026-03-25T01:42,0.2664,0.09559,1.6362,2.0768,-0.6341,11.8,8.3,0.2726,0.09636,0.2959,0.7097,0.004432,10,⏳ В позиции 12ч = 1.4x HL. Следите за Z.,1,True,True,
277,ICP/ATOM,SHORT,4h,🤖,2.5256,0.867418,4.5256,2026-03-25T01:42,2.406,1.7865,2.0592,0.8616,-0.0357,11.9,5.7,2.404,1.7988,0.0976,0.6457,0.03995,10,📉 Best Z (since entry): -0.58 → now +2.06 (bounce ≥0.8). Z-trailing stop. | ⏰ В позиции 12ч = 2.1x HL (6ч). Коинтеграция могла разрушиться. СРОЧНЫЙ ВЫХОД.,3,True,False,
279,LTC/XMR,SHORT,4h,🤖,2.5702,0.101213,4.5702,2026-03-25T02:39,56.24,341.94,0.119,0.0995,-0.7928,10.9,2.8,56.44,339.34,0.3055,0.3247,0.004393,10,📉 Best Z (since entry): -1.89 → now +0.12 (bounce ≥0.8). Z-trailing stop. | ⏰ В позиции 11ч = 3.9x HL (3ч). Коинтеграция могла разрушиться. СРОЧНЫЙ ВЫХОД.,3,True,True,
280,XRP/TON,SHORT,4h,🤖,2.0129,0.803592,4.0129,2026-03-25T02:39,1.4119,1.321,0.356,0.8151,-0.2959,10.9,6.0,1.4199,1.3334,0.2599,0.3752,0.00137,10,✅ MEAN REVERT (static Z) — закрывать!,2,True,True,
284,GAS/AXS,LONG,4h,🤖,-1.9016,0.467257,4.0,2026-03-25T09:51,1.5947,1.1094,-0.8471,0.4642,-0.4209,3.7,5.7,1.6018,1.1207,0.1938,0.3882,0.003206,10,⚠️ ЛОЖНОЕ СХОЖДЕНИЕ: Z→0 но P&L=-0.42%. σ спреда выросла. Ждите реального возврата цен.,1,True,True,
285,ONDO/DUSK,SHORT,4h,🤖,2.0684,0.67611,4.0684000000000005,2026-03-25T09:51,0.2574,0.12036,2.4475,0.6845,-1.3032,3.7,11.1,0.2604,0.11974,0.2365,0.3228,0.010606,10,,0,False,False,
286,ONDO/ATOM,SHORT,4h,🤖,1.8328,0.120046,4.0,2026-03-25T10:54,0.2597,1.7919,-0.108,0.1204,-0.5994,2.7,6.3,0.2604,1.7988,0.1855,0.7,0.006323,10,🎯 Z пересёк 0 (сейчас -0.11). Можно зафиксировать или подождать overshoot.,1,True,True,
287,SUI/DUSK,SHORT,4h,🤖,1.7404,2.678546,4.0,2026-03-25T10:54,0.9599,0.12054,1.689,2.6829,-0.9257,2.7,10.1,0.9614,0.11974,0.2076,0.2994,0.003932,10,,0,True,True,
