#,Пара,Dir,TF,Entry_Z,Current_Z,Entry_HR,Current_HR,HR_Drift_%,P&L_%,Hours_In,HL_hours,Hurst,P-value,Z_Toward_Zero,Exit_Signal,Entry_Time,Entry_P1,Entry_P2,Now_P1,Now_P2
284,GAS/AXS,LONG,4h,-1.9016,0.03570570268344755,0.467257,0.46060518936706774,1.4,-0.0896,10.4,5.7,0.21,0.0083,True,✅ MEAN REVERT (static Z) — закрывать!,2026-03-25T09:51:51.604030+03:00,1.5947,1.1094,1.6113,1.1233
286,ONDO/ATOM,SHORT,4h,1.8328,0.2768565165175241,0.120046,0.1241875943565618,3.5,-0.4927,9.4,6.0,0.197,0.0043,True,⏰ В позиции 9ч = 1.6x HL. Если Z не верн,2026-03-25T10:54:52.564069+03:00,0.2597,1.7919,0.2595,1.7649
288,DOGE/KAS,LONG,4h,-1.951,-0.2632420179248787,2.690291,2.0446457750710216,24.0,-0.3057,3.8,12.0,0.276,0.0005,True,,2026-03-25T16:27:39.564155+03:00,0.09712,0.03869,0.09631,0.03852
290,LINK/ZRO,SHORT,4h,2.11,1.4937752534028081,1.408576,1.4054372378315323,0.2,-1.4387,3.2,6.0,0.21,0.001,True,,2026-03-25T17:06:39.642079+03:00,9.477,2.2102,9.397,2.1577
291,ADA/HBAR,SHORT,4h,2.1161,0.7609744741542164,2.840434,2.759254117527557,2.9,-0.791,2.1,9.5,0.289,0.0005,True,,2026-03-25T18:09:40.031602+03:00,0.2726,0.0952,0.271,0.0945
292,ADA/SEI,SHORT,4h,3.5417,-0.6963287376581923,3.318972,3.341162345270604,0.7,-0.0364,2.1,8.1,0.251,0.019,True,🎯 Z пересёк 0 (сейчас -0.70). Можно зафи,2026-03-25T18:09:40.354490+03:00,0.2726,0.06075,0.271,0.06093
294,LTC/BARD,LONG,4h,-2.4924,-1.057255424946901,3.567231,3.5883262630301336,0.6,-0.464,1.2,8.0,0.183,0.0001,True,⚠️ ЛОЖНОЕ СХОЖДЕНИЕ: Z→0 но P&L=-0.46%. ,2026-03-25T19:06:40.862082+03:00,55.88,0.457,56.24,0.4582
295,LTC/BCH,LONG,4h,-2.7131,1.153017374742513,0.099426,0.09572173283090307,3.7,0.1822,1.2,2.9,0.21,0.0002,True,✅ OVERSHOOT (static Z) — фиксировать при,2026-03-25T19:06:41.257979+03:00,55.88,475.1,56.24,475.3
296,XRP/ETHFI,LONG,4h,-2.0271,-0.8501529311783795,1.68701,1.6775941770806875,0.6,-0.5615,1.2,8.2,0.278,0.003,True,,2026-03-25T19:06:41.666294+03:00,1.4049,0.5537,1.4125,0.5569
297,DOGE/POL,LONG,4h,-2.1866,-1.3328927172285647,0.792459,0.7933094373482997,0.1,-0.0361,0.2,8.7,0.237,0.001,True,✅ MEAN REVERT (static Z) — закрывать!,2026-03-25T20:06:41.018368+03:00,0.09666,0.09922,0.09631,0.09795
298,VIRTUAL/XPL,LONG,4h,-2.205,-2.696651249472953,4.196229,4.195078543543896,0.0,0.1556,0.2,7.6,0.231,0.0162,False,✅ MEAN REVERT (static Z) — закрывать!,2026-03-25T20:06:41.410814+03:00,0.7411,0.1006,0.7356,0.09973
