#,Пара,Dir,TF,Основание,Entry_Z,Entry_HR,Stop_Z,Entry_Time,Entry_Price1,Entry_Price2,Current_Z,Current_HR,P&L_%,Hours_In,HL_hours,Price1_Now,Price2_Now,Hurst,Correlation,P-value,Z_Window,Exit_Signal,Exit_Urgency,Z_Toward_Zero,PnL_Z_Disagree,Quality_Warnings
317,SUI/MNT,SHORT,1h,🤖,1.7492,0.969737,4.0,2026-03-27T01:24,0.9276,0.6971,-2.7074,0.5958,0.2727,8.6,2.3,0.9206,0.7012,0.3324,0.5965,0.177912,10,⏰ В позиции 9ч = 3.8x HL (2ч). Коинтеграция могла разрушиться. СРОЧНЫЙ ВЫХОД. | 🎯 OVERSHOOT: Z пересёк 0 и достиг -2.71. P&L=+0.27%. ФИКСИРУЙТЕ ПРИБЫЛЬ!,3,True,False,⚠️ P-value=0.178 — коинтеграция ослабла!
319,LINK/LTC,SHORT,1h,🤖,2.003,0.190066,4.003,2026-03-27T03:03,8.908,54.48,-0.8703,0.2483,-0.1337,6.9,0.6,8.895,54.97,0.0671,0.768,0.146726,10,⏰ В позиции 7ч = 11.3x HL (1ч). Коинтеграция могла разрушиться. СРОЧНЫЙ ВЫХОД. | 🎯 Z пересёк 0 (сейчас -0.87). Можно зафиксировать или подождать overshoot.,3,True,True,⚠️ P-value=0.147 — коинтеграция ослабла!
320,ONDO/SUPER,SHORT,1h,🤖,3.1041,2.122476,5.1041,2026-03-27T04:42,0.2795,0.11659,0.2113,1.2334,-2.6297,5.3,3.2,0.2869,0.11422,0.2224,0.2406,0.290039,10,⏰ В позиции 5ч = 1.6x HL. Если Z не вернулся — рассмотрите выход.,2,True,True,⚠️ P-value=0.290 — коинтеграция ослабла!
321,LINK/LIT,SHORT,1h,🤖,2.1608,2.380812,4.1608,2026-03-27T06:22,8.943,0.8924,-0.3756,1.5684,-1.3776,3.6,2.1,8.895,0.878,0.2727,0.2765,0.638462,10,⏰ В позиции 4ч = 1.7x HL. Если Z не вернулся — рассмотрите выход. | 🎯 Z пересёк 0 (сейчас -0.38). Можно зафиксировать или подождать overshoot.,2,True,True,⚠️ P-value=0.638 — коинтеграция ослабла!
322,ASTER/DYDX,LONG,1h,🤖,-2.3982,3.14194,4.3982,2026-03-27T08:53,0.6691,0.09294,-1.9968,1.9008,-0.822,1.1,2.2,0.666,0.09332,0.2119,0.1705,0.710129,10,,0,True,True,⚠️ P-value=0.710 — коинтеграция ослабла!; ⚠️ Корреляция ρ=0.17 < 0.2 — хедж не работает!
