#,Пара,Dir,TF,Entry_Z,Current_Z,Entry_HR,Current_HR,HR_Drift_%,P&L_%,Hours_In,HL_hours,Hurst,P-value,Z_Toward_Zero,Exit_Signal,Entry_Time,Entry_P1,Entry_P2,Now_P1,Now_P2
325,LINK/ATOM,LONG,1h,-2.5832,-0.30957602943388757,3.306068,4.469918423318878,35.2,-0.2146,5.7,1.2,0.198,0.6425,True,📉 Best Z (since entry): +2.54 → now -0.3,2026-03-27T15:40:06.595067+03:00,8.565,1.6686,8.501,1.6608
327,LINK/ICP,LONG,1h,-3.2408,-2.0130960558689757,2.241311,4.026647860010892,79.7,-0.0931,4.9,1.0,0.123,0.5329,True,📉 Best Z (since entry): +0.29 → now -2.0,2026-03-27T16:31:06.877379+03:00,8.571,2.227,8.501,2.209
328,ZRO/POL,LONG,1h,-4.4536,-1.4411749366438096,-4.920614,23.932419724581486,28853033.7,-1.5571,4.9,2.4,0.29,0.3603,True,⏰ В позиции 5ч = 2.0x HL (2ч). Коинтегра,2026-03-27T16:31:08.762411+03:00,2.0459,0.09064,1.9846,0.08993
329,XRP/ASTER,LONG,1h,-2.4868,-0.8417342977545765,1.245211,1.619842677881828,30.1,-1.124,4.1,2.0,0.293,0.2863,True,⏰ В позиции 4ч = 2.1x HL (2ч). Коинтегра,2026-03-27T17:21:07.264913+03:00,1.3423,0.66,1.3182,0.6591
