#,Пара,Dir,TF,Entry_Z,Current_Z,Entry_HR,Current_HR,HR_Drift_%,P&L_%,Hours_In,HL_hours,Hurst,P-value,Z_Toward_Zero,Exit_Signal,Entry_Time,Entry_P1,Entry_P2,Now_P1,Now_P2
260,UNI/ATOM,SHORT,4h,3.4753,-1.002308400984706,1.524089,1.5441508831025168,1.3,-0.1438,20.9,4.9,0.253,0.0258,True,📉 Best Z (since entry): -2.16 → now -1.0,2026-03-23T22:17:29.884461+03:00,3.571,1.7618,3.572,1.7696
262,DYDX/SEI,LONG,4h,-2.6622,-0.7017891812170793,1.659975,1.6863907573379249,1.6,-0.6943,19.0,7.6,0.298,0.0028,True,⏰ В позиции 19ч = 2.5x HL (8ч). Коинтегр,2026-03-24T00:12:39.203333+03:00,0.0834,0.06035,0.08199,0.06002
265,LINK/NEAR,SHORT,4h,2.1671,-0.5078659091616242,4.496389,4.534821519606434,0.9,-2.6778,18.0,6.4,0.279,0.0004,True,⏰ В позиции 18ч = 2.8x HL (6ч). Коинтегр,2026-03-24T01:11:08.831298+03:00,9.161,1.3241,9.132,1.2863
267,XRP/TON,LONG,4h,-3.7589,-0.9802053024204287,0.818034,0.8003605603069376,2.2,-0.8608,12.2,6.3,0.267,0.003,True,📉 Best Z (since entry): +1.32 → now -0.9,2026-03-24T06:58:22.084217+03:00,1.4104,1.3347,1.4004,1.3368
268,DOGE/STRK,LONG,4h,-2.9152,-1.5421910952154079,1.893027,1.8443645378680869,2.6,-0.5258,10.2,9.9,0.21,0.0025,True,⏳ В позиции 10ч = 1.0x HL. Следите за Z.,2026-03-24T08:57:56.215031+03:00,0.09355,0.03659,0.0935,0.03665
269,LTC/AAVE,SHORT,4h,2.095,0.23001473730156588,0.390275,0.3956131500485138,1.4,-0.5892,8.9,2.6,0.085,0.0361,True,📉 Best Z (since entry): -1.59 → now +0.2,2026-03-24T10:15:03.796629+03:00,55.64,109.21,55.85,109.53
270,XRP/ETHFI,LONG,4h,-3.8153,-2.922284977182998,1.735799,1.729801847821675,0.3,-0.286,8.9,8.1,0.24,0.0018,True,⏳ В позиции 9ч = 1.1x HL. Следите за Z.,2026-03-24T10:15:28.365739+03:00,1.413,0.5336,1.4004,0.5299
