#,Пара,Dir,TF,Основание,Entry_Z,Entry_HR,Stop_Z,Entry_Time,Entry_Price1,Entry_Price2,Current_Z,Current_HR,P&L_%,Hours_In,HL_hours,Price1_Now,Price2_Now,Hurst,Correlation,P-value,Z_Window,Exit_Signal,Exit_Urgency,Z_Toward_Zero,PnL_Z_Disagree,Quality_Warnings
260,UNI/ATOM,SHORT,4h,🤖,3.4753,1.524089,5.4753,2026-03-23T22:17,3.571,1.7618,-1.898,1.5472,0.2228,13.0,4.9,3.589,1.7858,0.2628,0.638,0.02508,10,⏰ В позиции 13ч = 2.7x HL (5ч). Коинтеграция могла разрушиться. СРОЧНЫЙ ВЫХОД. | 🎯 OVERSHOOT: Z пересёк 0 и достиг -1.90. P&L=+0.22%. ФИКСИРУЙТЕ ПРИБЫЛЬ!,3,True,False,
261,ASTER/XPL,LONG,4h,🤖,-3.3018,1.939008,5.3018,2026-03-23T23:16,0.6614,0.09751,-0.561,1.9262,0.0419,12.1,8.3,0.6571,0.09653,0.2547,0.6176,0.117891,10,⏳ В позиции 12ч = 1.5x HL. Следите за Z. | 💰 P&L упал с пика +1.45% до +0.04%. Фиксируйте остаток прибыли.,2,True,True,⚠️ P-value=0.118 — коинтеграция ослабла!
262,DYDX/SEI,LONG,4h,🤖,-2.6622,1.659975,4.6622,2026-03-24T00:12,0.0834,0.06035,-1.2822,1.6778,-0.6604,11.1,7.6,0.08374,0.06075,0.2752,0.7513,0.002742,10,⚠️ ЛОЖНОЕ СХОЖДЕНИЕ: Z→0 но P&L=-0.66%. σ спреда выросла. Ждите реального возврата цен.,1,True,True,
264,LINK/AXS,SHORT,4h,🤖,1.9667,3.376518,4.0,2026-03-24T01:10,9.161,1.1195,-0.269,3.4436,-0.2656,10.2,7.7,9.19,1.1225,0.2997,0.5623,0.013557,10,⏳ В позиции 10ч = 1.3x HL. Следите за Z. | 🎯 Z пересёк 0 (сейчас -0.27). Можно зафиксировать или подождать overshoot.,1,True,True,
265,LINK/NEAR,SHORT,4h,🤖,2.1671,4.496389,4.1671,2026-03-24T01:11,9.161,1.3241,-0.1541,4.5129,-0.7233,10.2,6.3,9.19,1.3198,0.2783,0.7421,0.001011,10,⏰ В позиции 10ч = 1.6x HL. Если Z не вернулся — рассмотрите выход. | 🎯 Z пересёк 0 (сейчас -0.15). Можно зафиксировать или подождать overshoot.,2,True,True,
266,TIA/NIGHT,SHORT,4h,🤖,3.376,4.088733,5.3759999999999994,2026-03-24T04:04,0.3272,0.04698,0.908,3.0625,-0.8011,7.3,11.3,0.3316,0.0469,0.2854,0.5088,0.005404,10,,0,True,True,
267,XRP/TON,LONG,4h,🤖,-3.7589,0.818034,5.758900000000001,2026-03-24T06:58,1.4104,1.3347,-0.5771,0.8208,0.0006,4.4,6.2,1.4224,1.3367,0.2808,0.384,0.000831,10,📉 Best Z (since entry): +0.35 → now -0.58 (bounce ≥0.8). Z-trailing stop.,2,True,True,
268,DOGE/STRK,LONG,4h,🤖,-2.9152,1.893027,4.9152000000000005,2026-03-24T08:57,0.09355,0.03659,-1.0281,1.8897,-0.6136,2.4,9.7,0.09515,0.03704,0.2333,0.5817,0.00363,10,⚠️ ЛОЖНОЕ СХОЖДЕНИЕ: Z→0 но P&L=-0.61%. σ спреда выросла. Ждите реального возврата цен.,1,True,True,
269,LTC/AAVE,SHORT,4h,🤖,2.095,0.390275,4.095000000000001,2026-03-24T10:15,55.64,109.21,-0.4867,0.3924,-0.3759,1.1,2.6,55.85,110.36,0.0867,0.7549,0.051293,10,🎯 Z пересёк 0 (сейчас -0.49). Можно зафиксировать или подождать overshoot.,1,True,True,
270,XRP/ETHFI,LONG,4h,🤖,-3.8153,1.735799,5.815300000000001,2026-03-24T10:15,1.413,0.5336,-3.8596,1.7335,-0.8227,1.1,8.1,1.4224,0.5392,0.2457,0.4996,0.000572,10,⚠️ ЛОЖНОЕ СХОЖДЕНИЕ: Z→0 но P&L=-0.82%. σ спреда выросла. Ждите реального возврата цен.,1,False,False,
