#,Пара,Dir,TF,Основание,Entry_Z,Entry_HR,Stop_Z,Entry_Time,Entry_Price1,Entry_Price2,Current_Z,Current_HR,P&L_%,Hours_In,HL_hours,Price1_Now,Price2_Now,Hurst,Correlation,P-value,Z_Window,Exit_Signal,Exit_Urgency,Z_Toward_Zero,PnL_Z_Disagree,Quality_Warnings
260,UNI/ATOM,SHORT,4h,🤖,3.4753,1.524089,5.4753,2026-03-23T22:17,3.571,1.7618,-2.7607,1.5449,0.2597,14.4,4.9,3.569,1.7804,0.2628,0.6385,0.026347,10,⏰ В позиции 14ч = 2.9x HL (5ч). Коинтеграция могла разрушиться. СРОЧНЫЙ ВЫХОД. | 🎯 OVERSHOOT: Z пересёк 0 и достиг -2.76. P&L=+0.26%. ФИКСИРУЙТЕ ПРИБЫЛЬ!,3,True,False,
261,ASTER/XPL,LONG,4h,🤖,-3.3018,1.939008,5.3018,2026-03-23T23:16,0.6614,0.09751,0.3712,1.9265,-0.3009,13.4,8.3,0.6628,0.09747,0.2547,0.6181,0.116009,10,⏰ В позиции 13ч = 1.6x HL. Если Z не вернулся — рассмотрите выход. | 🎯 Z пересёк 0 (сейчас +0.37). Можно зафиксировать или подождать overshoot.,2,True,True,⚠️ P-value=0.116 — коинтеграция ослабла!
262,DYDX/SEI,LONG,4h,🤖,-2.6622,1.659975,4.6622,2026-03-24T00:12,0.0834,0.06035,-1.8516,1.6776,-0.983,12.5,7.6,0.08424,0.06128,0.2752,0.7529,0.002367,10,📉 Best Z (since entry): +0.14 → now -1.85 (bounce ≥0.8). Z-trailing stop. | ⏰ В позиции 12ч = 1.6x HL. Если Z не вернулся — рассмотрите выход.,2,True,True,
264,LINK/AXS,SHORT,4h,🤖,1.9667,3.376518,4.0,2026-03-24T01:10,9.161,1.1195,-0.5657,3.4362,1.1609,11.5,7.6,9.237,1.1449,0.2997,0.5544,0.014154,10,⏰ В позиции 12ч = 1.5x HL. Если Z не вернулся — рассмотрите выход. | 🎯 Z пересёк 0 (сейчас -0.57). Можно зафиксировать или подождать overshoot.,2,True,False,
265,LINK/NEAR,SHORT,4h,🤖,2.1671,4.496389,4.1671,2026-03-24T01:11,9.161,1.3241,0.0205,4.5197,-0.4768,11.5,6.4,9.237,1.3253,0.2783,0.7428,0.001005,10,⏰ В позиции 12ч = 1.8x HL. Если Z не вернулся — рассмотрите выход.,2,True,True,
266,TIA/NIGHT,SHORT,4h,🤖,3.376,4.088733,5.3759999999999994,2026-03-24T04:04,0.3272,0.04698,0.787,3.0625,-0.7188,8.7,11.3,0.3308,0.04692,0.2854,0.5082,0.005482,10,,0,True,True,
267,XRP/TON,LONG,4h,🤖,-3.7589,0.818034,5.758900000000001,2026-03-24T06:58,1.4104,1.3347,0.738,0.8236,0.2697,5.8,6.2,1.4191,1.3249,0.2808,0.3921,0.000834,10,🎯 Z пересёк 0 (сейчас +0.74). Можно зафиксировать или подождать overshoot.,1,True,True,
268,DOGE/STRK,LONG,4h,🤖,-2.9152,1.893027,4.9152000000000005,2026-03-24T08:57,0.09355,0.03659,-0.8429,1.8898,-0.5735,3.8,9.7,0.09521,0.03703,0.2333,0.5818,0.003655,10,⚠️ ЛОЖНОЕ СХОЖДЕНИЕ: Z→0 но P&L=-0.57%. σ спреда выросла. Ждите реального возврата цен.,1,True,True,
269,LTC/AAVE,SHORT,4h,🤖,2.095,0.390275,4.095000000000001,2026-03-24T10:15,55.64,109.21,-0.8753,0.3915,-0.3116,2.5,2.6,55.85,110.61,0.0867,0.7541,0.05069,10,🎯 Z пересёк 0 (сейчас -0.88). Можно зафиксировать или подождать overshoot.,1,True,True,
270,XRP/ETHFI,LONG,4h,🤖,-3.8153,1.735799,5.815300000000001,2026-03-24T10:15,1.413,0.5336,-3.2437,1.7356,-0.2422,2.5,8.1,1.4191,0.5336,0.2457,0.5044,0.000571,10,✅ MEAN REVERT (static Z) — закрывать!,2,True,False,
