#,Пара,Dir,TF,Основание,Entry_Z,Entry_HR,Stop_Z,Entry_Time,Entry_Price1,Entry_Price2,Current_Z,Current_HR,P&L_%,Hours_In,HL_hours,Price1_Now,Price2_Now,Hurst,Correlation,P-value,Z_Window,Exit_Signal,Exit_Urgency,Z_Toward_Zero,PnL_Z_Disagree,Quality_Warnings
338,ETC/ZRO,SHORT,1h,🤖,3.2446,1.365053,5.2446,2026-03-30T06:34,8.15,2.0208,-0.6452,1.3104,-1.0577,3.0,1.3,8.203,2.0074,0.2857,0.5909,0.370393,10,⏰ В позиции 3ч = 2.2x HL (1ч). Коинтеграция могла разрушиться. СРОЧНЫЙ ВЫХОД. | 🎯 Z пересёк 0 (сейчас -0.65). Можно зафиксировать или подождать overshoot.,3,True,True,⚠️ P-value=0.370 — коинтеграция ослабла!
339,ETH/RIVER,SHORT,1h,🤖,3.7195,0.774605,5.7195,2026-03-30T08:23,2048.38,14.024,-1.703,-7.4503,-1.3709,1.2,0.7,2044.3,13.676,0.1689,0.1804,0.084216,10,⏰ В позиции 1ч = 1.6x HL. Если Z не вернулся — рассмотрите выход. | 🎯 OVERSHOOT: Z пересёк 0 и достиг -1.70. P&L=-1.37%. ФИКСИРУЙТЕ ПРИБЫЛЬ!,2,True,True,⚠️ Корреляция ρ=0.18 < 0.2 — хедж не работает!
340,ETC/ATOM,SHORT,1h,🤖,3.6898,3.019801,5.6898,2026-03-30T09:19,8.203,1.6697,-1.1682,3.5567,-0.373,0.3,1.5,8.203,1.6703,0.2038,0.7277,0.459995,10,🎯 OVERSHOOT: Z пересёк 0 и достиг -1.17. P&L=-0.37%. ФИКСИРУЙТЕ ПРИБЫЛЬ!,2,True,True,⚠️ P-value=0.460 — коинтеграция ослабла!
341,HBAR/SEI,SHORT,1h,🤖,2.4652,1.101783,4.465199999999999,2026-03-30T09:19,0.08969,0.0531,-0.1184,0.9765,-0.3805,0.3,2.1,0.08943,0.05298,0.2246,0.626,0.415901,10,🎯 Z пересёк 0 (сейчас -0.12). Можно зафиксировать или подождать overshoot.,1,True,True,⚠️ P-value=0.416 — коинтеграция ослабла!
