#,Пара,Dir,TF,Основание,Entry_Z,Entry_HR,Stop_Z,Entry_Time,Entry_Price1,Entry_Price2,Current_Z,Current_HR,P&L_%,Hours_In,HL_hours,Price1_Now,Price2_Now,Hurst,Correlation,P-value,Z_Window,Exit_Signal,Exit_Urgency,Z_Toward_Zero,PnL_Z_Disagree,Quality_Warnings
342,UNI/BARD,SHORT,1h,🤖,2.8624,0.531401,4.8624,2026-03-30T13:25,3.511,0.3625,-4.3185,0.6414,0.1517,9.3,2.1,3.452,0.3568,0.2853,0.269,0.128757,10,📉 Best Z (since entry): -5.33 → now -4.32 (bounce ≥0.8). Z-trailing stop. | ⏰ В позиции 9ч = 4.5x HL (2ч). Коинтеграция могла разрушиться. СРОЧНЫЙ ВЫХОД.,3,True,False,⚠️ P-value=0.129 — коинтеграция ослабла!
343,SUI/TIA,SHORT,1h,🤖,2.2716,2.348151,4.271599999999999,2026-03-30T16:20,0.8864,0.3026,-3.838,2.4142,-1.687,6.4,2.2,0.8565,0.2927,0.3336,0.8081,0.002308,10,⏰ В позиции 6ч = 3.0x HL (2ч). Коинтеграция могла разрушиться. СРОЧНЫЙ ВЫХОД. | 🎯 OVERSHOOT: Z пересёк 0 и достиг -3.84. P&L=-1.69%. ФИКСИРУЙТЕ ПРИБЫЛЬ!,3,True,True,
344,ASTER/XPL,SHORT,1h,🤖,4.2337,1.670844,6.2337,2026-03-30T22:28,0.6827,0.08916,-0.5064,2.7014,-1.3218,0.3,2.4,0.6752,0.08726,0.2495,0.451,0.706974,10,⚠️ ЛОЖНОЕ СХОЖДЕНИЕ: Z→0 но P&L=-1.32%. σ спреда выросла. Ждите реального возврата цен.,1,True,True,⚠️ P-value=0.707 — коинтеграция ослабла!
