#,Пара,Dir,TF,Основание,Entry_Z,Entry_HR,Stop_Z,Entry_Time,Entry_Price1,Entry_Price2,Current_Z,Current_HR,P&L_%,Hours_In,HL_hours,Price1_Now,Price2_Now,Hurst,Correlation,P-value,Z_Window,Exit_Signal,Exit_Urgency,Z_Toward_Zero,PnL_Z_Disagree,Quality_Warnings
260,UNI/ATOM,SHORT,4h,🤖,3.4753,1.524089,5.4753,2026-03-23T22:17,3.571,1.7618,-1.655,1.5425,-0.0983,21.4,4.9,3.554,1.7651,0.2531,0.6374,0.026973,10,⏰ В позиции 21ч = 4.4x HL (5ч). Коинтеграция могла разрушиться. СРОЧНЫЙ ВЫХОД. | 🎯 OVERSHOOT: Z пересёк 0 и достиг -1.65. P&L=-0.10%. ФИКСИРУЙТЕ ПРИБЫЛЬ!,3,True,True,
262,DYDX/SEI,LONG,4h,🤖,-2.6622,1.659975,4.6622,2026-03-24T00:12,0.0834,0.06035,-0.5671,1.6864,-0.5459,19.5,7.6,0.0817,0.05975,0.298,0.7576,0.003017,10,⏰ В позиции 20ч = 2.6x HL (8ч). Коинтеграция могла разрушиться. СРОЧНЫЙ ВЫХОД.,3,True,True,
265,LINK/NEAR,SHORT,4h,🤖,2.1671,4.496389,4.1671,2026-03-24T01:11,9.161,1.3241,-0.7789,4.531,-2.7694,18.5,6.4,9.091,1.2835,0.279,0.7436,0.000402,10,⏰ В позиции 19ч = 2.9x HL (6ч). Коинтеграция могла разрушиться. СРОЧНЫЙ ВЫХОД. | 🎯 Z пересёк 0 (сейчас -0.78). Можно зафиксировать или подождать overshoot.,3,True,True,
267,XRP/TON,LONG,4h,🤖,-3.7589,0.818034,5.758900000000001,2026-03-24T06:58,1.4104,1.3347,-1.74,0.7987,-1.1563,12.8,6.3,1.3917,1.3355,0.2667,0.3562,0.003129,10,📉 Best Z (since entry): +1.32 → now -1.74 (bounce ≥0.8). Z-trailing stop. | ⏰ В позиции 13ч = 2.0x HL (6ч). Коинтеграция могла разрушиться. СРОЧНЫЙ ВЫХОД.,3,True,True,
268,DOGE/STRK,LONG,4h,🤖,-2.9152,1.893027,4.9152000000000005,2026-03-24T08:57,0.09355,0.03659,-1.1485,1.8444,-0.1983,10.8,9.9,0.09337,0.03644,0.21,0.5837,0.002538,10,⏳ В позиции 11ч = 1.1x HL. Следите за Z.,1,True,True,
269,LTC/AAVE,SHORT,4h,🤖,2.095,0.390275,4.095000000000001,2026-03-24T10:15,55.64,109.21,0.4195,0.3961,-0.5108,9.5,2.6,55.67,108.93,0.085,0.7525,0.034929,10,📉 Best Z (since entry): -1.59 → now +0.42 (bounce ≥0.8). Z-trailing stop. | ⏰ В позиции 9ч = 3.7x HL (3ч). Коинтеграция могла разрушиться. СРОЧНЫЙ ВЫХОД.,3,True,True,
270,XRP/ETHFI,LONG,4h,🤖,-3.8153,1.735799,5.815300000000001,2026-03-24T10:15,1.413,0.5336,-2.9881,1.731,0.024,9.5,8.1,1.3917,0.5254,0.2405,0.5062,0.001807,10,⏳ В позиции 9ч = 1.2x HL. Следите за Z.,1,True,False,
