#,Пара,Dir,TF,Entry_Z,Current_Z,Entry_HR,Current_HR,HR_Drift_%,P&L_%,Hours_In,HL_hours,Hurst,P-value,Z_Toward_Zero,Exit_Signal,Entry_Time,Entry_P1,Entry_P2,Now_P1,Now_P2
272,UNI/IP,LONG,4h,-1.9376,0.7519988902172249,2.427072,2.53653472761387,4.5,-0.5615,13.8,5.6,0.264,0.0131,True,⏰ В позиции 14ч = 2.5x HL (6ч). Коинтегр,2026-03-24T20:12:57.468867+03:00,3.556,0.6366,3.638,0.6441
274,DOT/TON,SHORT,4h,2.3723,0.9444653017662403,0.820819,0.8229220432181357,0.3,0.1934,9.3,9.5,0.227,0.0123,True,,2026-03-25T00:45:47.415563+03:00,1.3878,1.3149,1.3832,1.3269
275,ADA/KAITO,SHORT,4h,3.9817,2.173840433127577,0.462775,0.46343455782462895,0.1,-0.9678,8.3,9.5,0.3,0.0009,True,📉 Best Z (since entry): -0.11 → now +2.1,2026-03-25T01:42:47.727012+03:00,0.2664,0.3968,0.2697,0.4003
276,ADA/POL,SHORT,4h,1.9305,1.1362555100991272,2.013554,2.0096808276305795,0.2,-0.4476,8.3,8.4,0.301,0.0031,True,📉 Best Z (since entry): -0.19 → now +1.1,2026-03-25T01:42:48.033638+03:00,0.2664,0.09559,0.2697,0.09611
277,ICP/ATOM,SHORT,4h,2.5256,-1.144230943811232,0.867418,0.8577056381910471,1.1,0.444,8.3,5.6,0.12,0.0492,True,✅ OVERSHOOT (static Z) — фиксировать при,2026-03-25T01:42:48.327516+03:00,2.406,1.7865,2.371,1.789
279,LTC/XMR,SHORT,4h,2.5702,-0.8455058850074354,0.101213,0.09988417088620634,1.3,-0.8345,7.4,2.8,0.305,0.0056,True,⏰ В позиции 7ч = 2.7x HL (3ч). Коинтегра,2026-03-25T02:39:48.449336+03:00,56.24,341.94,56.47,339.59
280,XRP/TON,SHORT,4h,2.0129,0.8298196786425005,0.803592,0.8088686570230388,0.7,-0.4955,7.4,6.2,0.257,0.0019,True,⚠️ ЛОЖНОЕ СХОЖДЕНИЕ: Z→0 но P&L=-0.50%. ,2026-03-25T02:39:48.779173+03:00,1.4119,1.321,1.4194,1.3269
283,VIRTUAL/IP,LONG,4h,-2.3115,-1.111372972215949,0.6117,0.6133599470588654,0.3,0.1311,3.6,8.1,0.231,0.0068,True,,2026-03-25T06:28:50.050898+03:00,0.7219,0.647,0.7261,0.6441
284,GAS/AXS,LONG,4h,-1.9016,-1.937929102024332,0.467257,0.46732877801511363,0.0,-0.4312,0.2,5.9,0.199,0.0015,False,⚠️ ЛОЖНОЕ СХОЖДЕНИЕ: Z→0 но P&L=-0.43%. ,2026-03-25T09:51:51.604030+03:00,1.5947,1.1094,1.5935,1.1087
285,ONDO/DUSK,SHORT,4h,2.0684,2.5854610479717013,0.67611,0.6756962036689387,0.1,-0.9144,0.2,10.9,0.235,0.0039,False,,2026-03-25T09:51:52.018946+03:00,0.2574,0.12036,0.2592,0.12007
