#,Пара,Dir,TF,Entry_Z,Current_Z,Entry_HR,Current_HR,HR_Drift_%,P&L_%,Hours_In,HL_hours,Hurst,P-value,Z_Toward_Zero,Exit_Signal,Entry_Time,Entry_P1,Entry_P2,Now_P1,Now_P2
340,ETC/ATOM,SHORT,1h,3.6898,-0.20151020351005253,3.019801,3.389247041511649,12.2,-0.0357,12.0,1.4,0.186,0.4581,True,📉 Best Z (since entry): -2.62 → now -0.2,2026-03-30T09:19:07.041998+03:00,8.203,1.6697,8.117,1.672
341,HBAR/SEI,SHORT,1h,2.4652,-0.24229232588129535,1.101783,1.194311998413514,8.4,-0.9457,12.0,1.9,0.176,0.1185,True,⏰ В позиции 12ч = 6.3x HL (2ч). Коинтегр,2026-03-30T09:19:09.628923+03:00,0.08969,0.0531,0.08789,0.05158
342,UNI/BARD,SHORT,1h,2.8624,-5.108510047897621,0.531401,0.6433800508384048,21.1,-0.0543,7.9,2.0,0.28,0.1338,True,⏰ В позиции 8ч = 3.9x HL (2ч). Коинтегра,2026-03-30T13:25:26.898196+03:00,3.511,0.3625,3.478,0.3597
343,SUI/TIA,SHORT,1h,2.2716,-4.877837202080271,2.348151,2.4119388694419963,2.7,-1.3426,5.0,2.2,0.334,0.0049,True,⏰ В позиции 5ч = 2.3x HL (2ч). Коинтегра,2026-03-30T16:20:28.597423+03:00,0.8864,0.3026,0.8621,0.295
