#,Пара,Dir,TF,Entry_Z,Current_Z,Entry_HR,Current_HR,HR_Drift_%,P&L_%,Hours_In,HL_hours,Hurst,P-value,Z_Toward_Zero,Exit_Signal,Entry_Time,Entry_P1,Entry_P2,Now_P1,Now_P2
291,ADA/HBAR,SHORT,4h,2.1161,-2.128563825417368,2.840434,2.508810928907989,11.7,-1.9233,15.5,10.2,0.301,0.0074,True,⏰ В позиции 15ч = 1.5x HL. Если Z не вер,2026-03-25T18:09:40.031602+03:00,0.2726,0.0952,0.2613,0.09185
292,ADA/SEI,SHORT,4h,3.5417,-4.334383529016879,3.318972,3.298359020823939,0.6,-1.3377,15.5,8.3,0.264,0.0168,True,⏰ В позиции 15ч = 1.9x HL. Если Z не вер,2026-03-25T18:09:40.354490+03:00,0.2726,0.06075,0.2613,0.05925
297,DOGE/POL,LONG,4h,-2.1866,-1.9683301132909248,0.792459,0.753364524939993,4.9,-1.3695,13.5,9.1,0.247,0.0026,True,⚠️ Позиция открыта 13.5ч (лимит 16ч),2026-03-25T20:06:41.018368+03:00,0.09666,0.09922,0.09234,0.0958
298,VIRTUAL/XPL,LONG,4h,-2.205,-3.2696211529670385,4.196229,4.167390458654154,0.7,0.8517,13.5,7.7,0.23,0.0117,False,⏰ В позиции 14ч = 1.7x HL. Если Z не вер,2026-03-25T20:06:41.410814+03:00,0.7411,0.1006,0.7012,0.09775
299,CRV/HBAR,SHORT,4h,2.6316,-2.8540737674590058,2.577033,2.3132927098848675,10.2,-0.7856,12.5,9.7,0.308,0.0084,True,⏳ В позиции 13ч = 1.3x HL. Следите за Z.,2026-03-25T21:05:41.419207+03:00,0.2397,0.09475,0.2241,0.09185
300,LDO/ETHFI,LONG,4h,-2.6976,0.20569237473337526,0.437895,0.42978982322902737,1.9,-0.7772,12.5,8.8,0.264,0.0001,True,⏳ В позиции 13ч = 1.4x HL. Следите за Z.,2026-03-25T21:05:41.926290+03:00,0.2993,0.5585,0.2912,0.5309
301,ICP/ATOM,SHORT,4h,3.8049,-1.3995803939821534,0.885427,0.8827242445846828,0.3,-0.2778,11.5,5.7,0.121,0.0247,True,⏰ В позиции 12ч = 2.0x HL (6ч). Коинтегр,2026-03-25T22:06:42.005568+03:00,2.41,1.7727,2.338,1.7175
302,LDO/IP,LONG,4h,-2.1248,-1.6867150102025454,0.258544,0.2598220056508886,0.5,-2.2697,11.5,6.6,0.238,0.0001,True,⏰ В позиции 12ч = 1.7x HL. Если Z не вер,2026-03-25T22:06:46.215878+03:00,0.2991,0.646,0.2912,0.6388
303,SUI/NEAR,SHORT,4h,2.0546,-0.8841269269127143,0.565083,0.5647077703094533,0.1,0.2454,11.1,5.9,0.228,0.0046,True,⏰ В позиции 11ч = 1.9x HL. Если Z не вер,2026-03-25T22:33:53.419757+03:00,0.9664,1.2745,0.938,1.231
304,SUI/VIRTUAL,SHORT,4h,4.0415,0.7017473849365211,0.961508,0.9555593907354246,0.6,-0.572,10.0,7.0,0.177,0.0015,True,⏳ В позиции 10ч = 1.4x HL. Следите за Z.,2026-03-25T23:34:53.697038+03:00,0.9647,0.7246,0.938,0.7012
305,DOT/IP,LONG,4h,-2.1169,-1.3465973184170108,1.128618,1.112474503946955,1.4,-0.6514,8.0,9.8,0.248,0.0494,True,,2026-03-26T01:37:54.636299+03:00,1.3513,0.649,1.3201,0.6388
306,ONDO/MOODENG,SHORT,4h,2.3132,1.3563019904852953,3.522711,3.490214035264762,0.9,-2.5117,8.0,6.2,0.231,0.0006,True,⏳ В позиции 8ч = 1.3x HL. Следите за Z.,2026-03-26T01:37:55.051682+03:00,0.2636,0.04948,0.261,0.048
307,XRP/ONDO,LONG,4h,-2.3328,-0.06859579272480196,4.737143,4.67719966098122,1.3,0.7757,7.0,6.6,0.218,0.0001,True,⏳ В позиции 7ч = 1.1x HL. Следите за Z. ,2026-03-26T02:38:55.135537+03:00,1.4173,0.266,1.3867,0.261
308,BNB/ZEC,LONG,4h,-2.0581,-0.9562771362737155,1.841507,1.7236723805081422,6.4,1.1782,4.0,2.7,0.227,0.0001,True,📉 Best Z (since entry): +1.51 → now -0.9,2026-03-26T05:36:56.514999+03:00,644.9,232.34,633.9,224.53
309,LTC/BARD,LONG,4h,-2.1033,-4.692724091212995,3.627999,3.631608596770189,0.1,1.2517,4.0,8.0,0.203,0.0008,False,📉 Best Z (since entry): +0.37 → now -4.6,2026-03-26T05:36:56.951391+03:00,56.17,0.4446,55.33,0.4334
310,AXS/LIT,LONG,4h,-2.8035,-1.300553436766387,0.220764,0.22181648428185047,0.5,-0.7402,3.0,6.1,0.182,0.0024,True,,2026-03-26T06:35:56.938090+03:00,1.101,0.9916,1.089,0.9613
311,XRP/LIGHT,LONG,4h,-1.8049,-2.234586546173224,0.80874,0.7981838337414032,1.3,-1.0217,3.0,10.7,0.318,0.002,False,,2026-03-26T06:35:57.456546+03:00,1.3999,0.1781,1.3867,0.1785
312,BNB/BCH,LONG,4h,-1.7605,-1.6940012826543727,0.787518,0.6687600879776706,15.1,-0.6371,3.0,3.2,0.057,0.0,True,⚠️ ЛОЖНОЕ СХОЖДЕНИЕ: Z_std→0 но Z_GARCH=,2026-03-26T06:36:56.993212+03:00,642.1,470.7,633.9,465.6
313,LINK/BARD,LONG,4h,-3.5029,-3.5755232123656664,1.124337,1.1239086779220715,0.0,-0.487,0.0,8.1,0.223,0.0095,False,⏳ Grace period: 2 мин до мониторинга,2026-03-26T09:34:58.348558+03:00,9.092,0.4329,9.087,0.4334
