#,Пара,Dir,TF,Основание,Entry_Z,Entry_HR,Stop_Z,Entry_Time,Entry_Price1,Entry_Price2,Current_Z,Current_HR,P&L_%,Hours_In,HL_hours,Price1_Now,Price2_Now,Hurst,Correlation,P-value,Z_Window,Exit_Signal,Exit_Urgency,Z_Toward_Zero,PnL_Z_Disagree,Quality_Warnings
260,UNI/ATOM,SHORT,4h,🤖,3.4753,1.524089,5.4753,2026-03-23T22:17,3.571,1.7618,-1.0182,1.545,-0.1909,20.5,4.9,3.571,1.7679,0.2548,0.6379,0.02552,10,📉 Best Z (since entry): -2.15 → now -1.02 (bounce ≥0.8). Z-trailing stop. | ⏰ В позиции 20ч = 4.2x HL (5ч). Коинтеграция могла разрушиться. СРОЧНЫЙ ВЫХОД.,3,True,True,
262,DYDX/SEI,LONG,4h,🤖,-2.6622,1.659975,4.6622,2026-03-24T00:12,0.0834,0.06035,-1.264,1.68,-0.539,18.6,7.6,0.08222,0.05997,0.2856,0.755,0.002855,10,📉 Best Z (since entry): +0.13 → now -1.26 (bounce ≥0.8). Z-trailing stop. | ⏰ В позиции 19ч = 2.4x HL (8ч). Коинтеграция могла разрушиться. СРОЧНЫЙ ВЫХОД.,3,True,True,
265,LINK/NEAR,SHORT,4h,🤖,2.1671,4.496389,4.1671,2026-03-24T01:11,9.161,1.3241,-0.1817,4.5321,-2.776,17.6,6.4,9.141,1.285,0.2666,0.7412,0.000471,10,⏰ В позиции 18ч = 2.7x HL (6ч). Коинтеграция могла разрушиться. СРОЧНЫЙ ВЫХОД. | 🎯 Z пересёк 0 (сейчас -0.18). Можно зафиксировать или подождать overshoot.,3,True,True,
266,TIA/NIGHT,SHORT,4h,🤖,3.376,4.088733,5.3759999999999994,2026-03-24T04:04,0.3272,0.04698,-0.7174,2.793,2.5208,14.7,11.3,0.3247,0.0486,0.2987,0.4682,0.004461,10,⚠️ Позиция открыта 14.7ч (лимит 16ч),1,True,False,
267,XRP/TON,LONG,4h,🤖,-3.7589,0.818034,5.758900000000001,2026-03-24T06:58,1.4104,1.3347,-2.4666,0.814,-0.5273,11.8,6.3,1.4029,1.3298,0.2729,0.3756,0.003506,10,📉 Best Z (since entry): +1.36 → now -2.47 (bounce ≥0.8). Z-trailing stop. | ⏰ В позиции 12ч = 1.9x HL. Если Z не вернулся — рассмотрите выход.,2,True,True,
268,DOGE/STRK,LONG,4h,🤖,-2.9152,1.893027,4.9152000000000005,2026-03-24T08:57,0.09355,0.03659,-1.6202,1.8703,-0.3833,9.8,9.8,0.09345,0.03656,0.2287,0.5832,0.0023,10,⏳ В позиции 10ч = 1.0x HL. Следите за Z.,1,True,True,
269,LTC/AAVE,SHORT,4h,🤖,2.095,0.390275,4.095000000000001,2026-03-24T10:15,55.64,109.21,1.3681,0.3941,-0.4367,8.6,2.6,55.74,109.57,0.0828,0.749,0.040976,10,📉 Best Z (since entry): -1.60 → now +1.37 (bounce ≥0.8). Z-trailing stop. | ⏰ В позиции 9ч = 3.4x HL (3ч). Коинтеграция могла разрушиться. СРОЧНЫЙ ВЫХОД.,3,True,False,
270,XRP/ETHFI,LONG,4h,🤖,-3.8153,1.735799,5.815300000000001,2026-03-24T10:15,1.413,0.5336,-4.2038,1.731,-0.257,8.6,8.1,1.4029,0.5302,0.2554,0.5035,0.002083,10,✅ MEAN REVERT (static Z) — закрывать!,2,False,False,
