#,Пара,Dir,TF,Основание,Entry_Z,Entry_HR,Stop_Z,Entry_Time,Entry_Price1,Entry_Price2,Current_Z,Current_HR,P&L_%,Hours_In,HL_hours,Price1_Now,Price2_Now,Hurst,Correlation,P-value,Z_Window,Exit_Signal,Exit_Urgency,Z_Toward_Zero,PnL_Z_Disagree,Quality_Warnings
345,ETC/ATOM,LONG,1h,🤖,-3.9817,2.97766,5.9817,2026-03-30T22:58,8.038,1.6611,-0.5527,3.056,-1.778,11.2,1.4,8.132,1.6982,0.1221,0.7906,0.497914,10,⏰ В позиции 11ч = 7.9x HL (1ч). Коинтеграция могла разрушиться. СРОЧНЫЙ ВЫХОД.,3,True,True,⚠️ P-value=0.498 — коинтеграция ослабла!
346,ZRO/POL,LONG,1h,🤖,-3.4787,2.751923,5.4787,2026-03-30T22:58,1.9151,0.09054,1.9277,26.9753,-1.3368,11.2,2.3,1.8571,0.0907,0.3045,0.4211,0.574738,10,⏰ В позиции 11ч = 4.9x HL (2ч). Коинтеграция могла разрушиться. СРОЧНЫЙ ВЫХОД. | 🎯 OVERSHOOT: Z пересёк 0 и достиг +1.93. P&L=-1.34%. ФИКСИРУЙТЕ ПРИБЫЛЬ!,3,True,True,⚠️ P-value=0.575 — коинтеграция ослабла!
