#,Пара,Dir,TF,Entry_Z,Current_Z,Entry_HR,Current_HR,HR_Drift_%,P&L_%,Hours_In,HL_hours,Hurst,P-value,Z_Toward_Zero,Exit_Signal,Entry_Time,Entry_P1,Entry_P2,Now_P1,Now_P2
260,UNI/ATOM,SHORT,4h,3.4753,-1.018225876206839,1.524089,1.5449788936852653,1.4,-0.1909,20.5,4.9,0.255,0.0255,True,📉 Best Z (since entry): -2.15 → now -1.0,2026-03-23T22:17:29.884461+03:00,3.571,1.7618,3.571,1.7679
262,DYDX/SEI,LONG,4h,-2.6622,-1.2640013759315085,1.659975,1.6800173036274086,1.2,-0.539,18.6,7.6,0.286,0.0029,True,📉 Best Z (since entry): +0.13 → now -1.2,2026-03-24T00:12:39.203333+03:00,0.0834,0.06035,0.08222,0.05997
265,LINK/NEAR,SHORT,4h,2.1671,-0.18172308241514104,4.496389,4.532061739309919,0.8,-2.776,17.6,6.4,0.267,0.0005,True,⏰ В позиции 18ч = 2.7x HL (6ч). Коинтегр,2026-03-24T01:11:08.831298+03:00,9.161,1.3241,9.141,1.285
266,TIA/NIGHT,SHORT,4h,3.376,-0.7174354228591197,4.088733,2.7930080536647997,31.7,2.5208,14.7,11.3,0.299,0.0045,True,⚠️ Позиция открыта 14.7ч (лимит 16ч),2026-03-24T04:04:00.842151+03:00,0.3272,0.04698,0.3247,0.0486
267,XRP/TON,LONG,4h,-3.7589,-2.4665995455827945,0.818034,0.8139612431006247,0.5,-0.5273,11.8,6.3,0.273,0.0035,True,📉 Best Z (since entry): +1.36 → now -2.4,2026-03-24T06:58:22.084217+03:00,1.4104,1.3347,1.4029,1.3298
268,DOGE/STRK,LONG,4h,-2.9152,-1.6202263099420013,1.893027,1.870283130923444,1.2,-0.3833,9.8,9.8,0.229,0.0023,True,⏳ В позиции 10ч = 1.0x HL. Следите за Z.,2026-03-24T08:57:56.215031+03:00,0.09355,0.03659,0.09345,0.03656
269,LTC/AAVE,SHORT,4h,2.095,1.3680987972543805,0.390275,0.3940798637134454,1.0,-0.4367,8.6,2.6,0.083,0.041,True,📉 Best Z (since entry): -1.60 → now +1.3,2026-03-24T10:15:03.796629+03:00,55.64,109.21,55.74,109.57
270,XRP/ETHFI,LONG,4h,-3.8153,-4.203791347852198,1.735799,1.7310176730155338,0.3,-0.257,8.6,8.1,0.255,0.0021,False,✅ MEAN REVERT (static Z) — закрывать!,2026-03-24T10:15:28.365739+03:00,1.413,0.5336,1.4029,0.5302
