#,Пара,Dir,TF,Entry_Z,Current_Z,Entry_HR,Current_HR,HR_Drift_%,P&L_%,Hours_In,HL_hours,Hurst,P-value,Z_Toward_Zero,Exit_Signal,Entry_Time,Entry_P1,Entry_P2,Now_P1,Now_P2
317,SUI/MNT,SHORT,1h,1.7492,-2.167396591581699,0.969737,0.5981412337318485,38.3,-0.5314,11.4,2.2,0.292,0.176,True,⏰ В позиции 11ч = 5.1x HL (2ч). Коинтегр,2026-03-27T01:24:20.158413+03:00,0.9276,0.6971,0.91,0.6816
319,LINK/LTC,SHORT,1h,2.003,0.06452512085223877,0.190066,0.2749002453043584,44.6,0.73,9.8,0.6,0.098,0.0962,True,⏰ В позиции 10ч = 15.9x HL (1ч). Коинтег,2026-03-27T03:03:20.930223+03:00,8.908,54.48,8.791,54.57
320,ONDO/SUPER,SHORT,1h,3.1041,-2.913225838303987,2.122476,1.2280024440556578,42.1,-1.2535,8.2,3.0,0.204,0.1068,True,⏰ В позиции 8ч = 2.8x HL (3ч). Коинтегра,2026-03-27T04:42:21.637116+03:00,0.2795,0.11659,0.2755,0.11434
321,LINK/LIT,SHORT,1h,2.1608,-2.7214259922773665,2.380812,1.4244624932533336,40.2,-1.1217,6.5,2.1,0.258,0.6655,True,⏰ В позиции 6ч = 3.1x HL (2ч). Коинтегра,2026-03-27T06:22:22.470894+03:00,8.943,0.8924,8.789,0.8768
322,ASTER/DYDX,LONG,1h,-2.3982,-0.5863730424153545,3.14194,1.957530378167634,37.7,-1.4758,4.0,2.2,0.234,0.8254,True,⏰ В позиции 4ч = 1.8x HL. Если Z не верн,2026-03-27T08:53:23.575823+03:00,0.6691,0.09294,0.661,0.0939
