#,Пара,Dir,TF,Entry_Z,Current_Z,Entry_HR,Current_HR,HR_Drift_%,P&L_%,Hours_In,HL_hours,Hurst,P-value,Z_Toward_Zero,Exit_Signal,Entry_Time,Entry_P1,Entry_P2,Now_P1,Now_P2
284,GAS/AXS,LONG,4h,-1.9016,-0.16644521823868927,0.467257,0.4591305019692696,1.7,-0.4206,12.7,5.7,0.21,0.0077,True,⏰ В позиции 13ч = 2.2x HL (6ч). Коинтегр,2026-03-25T09:51:51.604030+03:00,1.5947,1.1094,1.6008,1.1192
286,ONDO/ATOM,SHORT,4h,1.8328,0.8358803002548009,0.120046,0.12444241568109755,3.7,-1.0787,11.6,6.0,0.197,0.0045,True,📉 Best Z (since entry): -0.10 → now +0.8,2026-03-25T10:54:52.564069+03:00,0.2597,1.7919,0.2613,1.7704
288,DOGE/KAS,LONG,4h,-1.951,-0.28139716401730736,2.690291,2.0446110038637495,24.0,-0.3301,6.1,12.0,0.276,0.0005,True,,2026-03-25T16:27:39.564155+03:00,0.09712,0.03869,0.09629,0.03853
290,LINK/ZRO,SHORT,4h,2.11,-1.550846046117434,1.408576,1.398205388294338,0.7,-0.875,5.4,6.0,0.21,0.0009,True,🎯 OVERSHOOT: Z пересёк 0 и достиг -1.55.,2026-03-25T17:06:39.642079+03:00,9.477,2.2102,9.339,2.1694
291,ADA/HBAR,SHORT,4h,2.1161,0.47684792088718253,2.840434,2.7592141891849686,2.9,-0.745,4.4,9.5,0.289,0.0005,True,,2026-03-25T18:09:40.031602+03:00,0.2726,0.0952,0.2706,0.09451
292,ADA/SEI,SHORT,4h,3.5417,-1.0260558190707239,3.318972,3.341078654998134,0.7,-0.0783,4.4,8.1,0.251,0.0186,True,🎯 OVERSHOOT: Z пересёк 0 и достиг -1.03.,2026-03-25T18:09:40.354490+03:00,0.2726,0.06075,0.2706,0.06087
294,LTC/BARD,LONG,4h,-2.4924,-0.7999953096669998,3.567231,3.5948987836443695,0.8,-0.5221,3.4,8.0,0.183,0.0001,True,,2026-03-25T19:06:40.862082+03:00,55.88,0.457,56.31,0.4587
295,LTC/BCH,LONG,4h,-2.7131,1.5965224456733214,0.099426,0.09588915733672888,3.6,0.298,3.4,2.9,0.21,0.0002,True,✅ OVERSHOOT (static Z) — фиксировать при,2026-03-25T19:06:41.257979+03:00,55.88,475.1,56.31,475.2
296,XRP/ETHFI,LONG,4h,-2.0271,-1.458226024771005,1.68701,1.6710312812054098,0.9,-1.1372,3.4,8.2,0.278,0.003,True,,2026-03-25T19:06:41.666294+03:00,1.4049,0.5537,1.4126,0.562
297,DOGE/POL,LONG,4h,-2.1866,-0.8216931005372915,0.792459,0.7935355105574624,0.1,0.184,2.4,8.7,0.237,0.001,True,,2026-03-25T20:06:41.018368+03:00,0.09666,0.09922,0.09629,0.09743
298,VIRTUAL/XPL,LONG,4h,-2.205,-4.386250568836573,4.196229,4.193422527719053,0.1,-0.051,2.4,7.6,0.231,0.0138,False,⚠️ ЛОЖНОЕ СХОЖДЕНИЕ: Z_std→0 но Z_GARCH=,2026-03-25T20:06:41.410814+03:00,0.7411,0.1006,0.7295,0.09979
299,CRV/HBAR,SHORT,4h,2.6316,0.9211457713941162,2.577033,2.5757853436947844,0.0,-0.0343,1.4,8.9,0.305,0.0345,True,,2026-03-25T21:05:41.419207+03:00,0.2397,0.09475,0.235,0.09451
300,LDO/ETHFI,LONG,4h,-2.6976,-3.654184891789098,0.437895,0.43646717431575277,0.3,-0.7303,1.4,8.7,0.228,0.0001,False,,2026-03-25T21:05:41.926290+03:00,0.2993,0.5585,0.2987,0.562
301,ICP/ATOM,SHORT,4h,3.8049,3.1540578652317843,0.885427,0.8843489484412865,0.1,-0.3069,0.4,5.6,0.104,0.0166,True,,2026-03-25T22:06:42.005568+03:00,2.41,1.7727,2.403,1.7704
302,LDO/IP,LONG,4h,-2.1248,-2.3760690257616686,0.258544,0.2584176585751516,0.0,-0.5285,0.4,6.7,0.234,0.0029,False,⚠️ ЛОЖНОЕ СХОЖДЕНИЕ: Z_std→0 но Z_GARCH=,2026-03-25T22:06:46.215878+03:00,0.2991,0.646,0.2987,0.6467
