#,Пара,Dir,TF,Entry_Z,Current_Z,Entry_HR,Current_HR,HR_Drift_%,P&L_%,Hours_In,HL_hours,Hurst,P-value,Z_Toward_Zero,Exit_Signal,Entry_Time,Entry_P1,Entry_P2,Now_P1,Now_P2
272,UNI/IP,LONG,4h,-1.9376,0.8548410578323842,2.427072,2.5368796605033492,4.5,-0.5369,13.9,5.6,0.264,0.013,True,⏰ В позиции 14ч = 2.5x HL (6ч). Коинтегр,2026-03-24T20:12:57.468867+03:00,3.556,0.6366,3.641,0.6441
274,DOT/TON,SHORT,4h,2.3723,0.9372896990186979,0.820819,0.8228994899880863,0.3,0.1974,9.3,9.5,0.227,0.0123,True,,2026-03-25T00:45:47.415563+03:00,1.3878,1.3149,1.3831,1.3269
275,ADA/KAITO,SHORT,4h,3.9817,2.2737527851182073,0.462775,0.46338473880433345,0.1,-1.0077,8.4,9.5,0.3,0.0009,True,📉 Best Z (since entry): -0.11 → now +2.2,2026-03-25T01:42:47.727012+03:00,0.2664,0.3968,0.2697,0.3998
276,ADA/POL,SHORT,4h,1.9305,1.1183413175936643,2.013554,2.009704341356998,0.2,-0.4336,8.4,8.4,0.301,0.0031,True,📉 Best Z (since entry): -0.19 → now +1.1,2026-03-25T01:42:48.033638+03:00,0.2664,0.09559,0.2697,0.09613
277,ICP/ATOM,SHORT,4h,2.5256,-1.1887163524984312,0.867418,0.857505204229382,1.1,0.4622,8.4,5.6,0.12,0.0492,True,✅ OVERSHOOT (static Z) — фиксировать при,2026-03-25T01:42:48.327516+03:00,2.406,1.7865,2.371,1.7897
279,LTC/XMR,SHORT,4h,2.5702,-0.8333609288201169,0.101213,0.09989296994851689,1.3,-0.8219,7.4,2.8,0.305,0.0056,True,⏰ В позиции 7ч = 2.7x HL (3ч). Коинтегра,2026-03-25T02:39:48.449336+03:00,56.24,341.94,56.46,339.46
280,XRP/TON,SHORT,4h,2.0129,0.7969047648547244,0.803592,0.8087558908727916,0.6,-0.4759,7.4,6.2,0.257,0.0019,True,⚠️ ЛОЖНОЕ СХОЖДЕНИЕ: Z→0 но P&L=-0.48%. ,2026-03-25T02:39:48.779173+03:00,1.4119,1.321,1.4189,1.3269
283,VIRTUAL/IP,LONG,4h,-2.3115,-1.0336337711547336,0.6117,0.6134174358737786,0.3,0.1741,3.6,8.1,0.231,0.0068,True,,2026-03-25T06:28:50.050898+03:00,0.7219,0.647,0.7266,0.6441
284,GAS/AXS,LONG,4h,-1.9016,-1.8375375960694242,0.467257,0.46749819239221346,0.1,-0.333,0.2,5.9,0.199,0.0015,True,⚠️ ЛОЖНОЕ СХОЖДЕНИЕ: Z→0 но P&L=-0.33%. ,2026-03-25T09:51:51.604030+03:00,1.5947,1.1094,1.5962,1.1093
285,ONDO/DUSK,SHORT,4h,2.0684,2.519981452767189,0.67611,0.6756755892681721,0.1,-0.8683,0.2,10.9,0.235,0.0039,False,⚠️ ЛОЖНОЕ СХОЖДЕНИЕ: Z_std→0 но Z_GARCH=,2026-03-25T09:51:52.018946+03:00,0.2574,0.12036,0.2589,0.12
