#,Пара,Dir,TF,Основание,Entry_Z,Entry_HR,Stop_Z,Entry_Time,Entry_Price1,Entry_Price2,Current_Z,Current_HR,P&L_%,Hours_In,HL_hours,Price1_Now,Price2_Now,Hurst,Correlation,P-value,Z_Window,Exit_Signal,Exit_Urgency,Z_Toward_Zero,PnL_Z_Disagree,Quality_Warnings
291,ADA/HBAR,SHORT,4h,🤖,2.1161,2.840434,4.116099999999999,2026-03-25T18:09,0.2726,0.0952,-2.1286,2.5088,-1.9233,15.5,10.2,0.2613,0.09185,0.3009,0.912,0.007378,10,⏰ В позиции 15ч = 1.5x HL. Если Z не вернулся — рассмотрите выход. | 🎯 OVERSHOOT: Z пересёк 0 и достиг -2.13. P&L=-1.92%. ФИКСИРУЙТЕ ПРИБЫЛЬ!,2,True,True,
292,ADA/SEI,SHORT,4h,🤖,3.5417,3.318972,5.5417000000000005,2026-03-25T18:09,0.2726,0.06075,-4.3344,3.2984,-1.3377,15.5,8.3,0.2613,0.05925,0.2636,0.8251,0.016808,10,⏰ В позиции 15ч = 1.9x HL. Если Z не вернулся — рассмотрите выход. | 🎯 OVERSHOOT: Z пересёк 0 и достиг -4.33. P&L=-1.34%. ФИКСИРУЙТЕ ПРИБЫЛЬ!,2,True,True,
297,DOGE/POL,LONG,4h,🤖,-2.1866,0.792459,4.1866,2026-03-25T20:06,0.09666,0.09922,-1.9683,0.7534,-1.3695,13.5,9.1,0.09234,0.0958,0.2473,0.6461,0.00262,10,⚠️ Позиция открыта 13.5ч (лимит 16ч),1,True,True,
298,VIRTUAL/XPL,LONG,4h,🤖,-2.205,4.196229,4.205,2026-03-25T20:06,0.7411,0.1006,-3.2696,4.1674,0.8517,13.5,7.7,0.7012,0.09775,0.2301,0.7818,0.011731,10,⏰ В позиции 14ч = 1.7x HL. Если Z не вернулся — рассмотрите выход. | 💰 P&L достигал +1.30%. Текущий: +0.85%. Рассмотрите фиксацию.,2,False,True,
299,CRV/HBAR,SHORT,4h,🤖,2.6316,2.577033,4.631600000000001,2026-03-25T21:05,0.2397,0.09475,-2.8541,2.3133,-0.7856,12.5,9.7,0.2241,0.09185,0.3079,0.7743,0.008396,10,⏳ В позиции 13ч = 1.3x HL. Следите за Z. | 🎯 OVERSHOOT: Z пересёк 0 и достиг -2.85. P&L=-0.79%. ФИКСИРУЙТЕ ПРИБЫЛЬ!,2,True,True,
300,LDO/ETHFI,LONG,4h,🤖,-2.6976,0.437895,4.6975999999999996,2026-03-25T21:05,0.2993,0.5585,0.2057,0.4298,-0.7772,12.5,8.8,0.2912,0.5309,0.2642,0.5725,5.2e-05,10,⏳ В позиции 13ч = 1.4x HL. Следите за Z. | 🎯 Z пересёк 0 (сейчас +0.21). Можно зафиксировать или подождать overshoot.,2,True,True,
301,ICP/ATOM,SHORT,4h,🤖,3.8049,0.885427,5.8049,2026-03-25T22:06,2.41,1.7727,-1.3996,0.8827,-0.2778,11.5,5.7,2.338,1.7175,0.1208,0.6576,0.02466,10,⏰ В позиции 12ч = 2.0x HL (6ч). Коинтеграция могла разрушиться. СРОЧНЫЙ ВЫХОД. | 🎯 OVERSHOOT: Z пересёк 0 и достиг -1.40. P&L=-0.28%. ФИКСИРУЙТЕ ПРИБЫЛЬ!,3,True,True,
302,LDO/IP,LONG,4h,🤖,-2.1248,0.258544,4.1248000000000005,2026-03-25T22:06,0.2991,0.646,-1.6867,0.2598,-2.2697,11.5,6.6,0.2912,0.6388,0.2383,0.4364,0.000109,10,⏰ В позиции 12ч = 1.7x HL. Если Z не вернулся — рассмотрите выход.,2,True,True,
303,SUI/NEAR,SHORT,4h,🤖,2.0546,0.565083,4.054600000000001,2026-03-25T22:33,0.9664,1.2745,-0.8841,0.5647,0.2454,11.1,5.9,0.938,1.231,0.2282,0.7066,0.004558,10,⏰ В позиции 11ч = 1.9x HL. Если Z не вернулся — рассмотрите выход. | 🎯 Z пересёк 0 (сейчас -0.88). Можно зафиксировать или подождать overshoot.,2,True,False,
304,SUI/VIRTUAL,SHORT,4h,🤖,4.0415,0.961508,6.0415,2026-03-25T23:34,0.9647,0.7246,0.7017,0.9556,-0.572,10.0,7.0,0.938,0.7012,0.1768,0.7468,0.001496,10,⏳ В позиции 10ч = 1.4x HL. Следите за Z.,1,True,True,
