#,Пара,Dir,TF,Основание,Entry_Z,Entry_HR,Stop_Z,Entry_Time,Entry_Price1,Entry_Price2,Current_Z,Current_HR,P&L_%,Hours_In,HL_hours,Price1_Now,Price2_Now,Hurst,Correlation,P-value,Z_Window,Exit_Signal,Exit_Urgency,Z_Toward_Zero,PnL_Z_Disagree,Quality_Warnings
325,LINK/ATOM,LONG,1h,🤖,-2.5832,3.306068,4.5832,2026-03-27T15:40,8.565,1.6686,-0.3096,4.4699,-0.2146,5.7,1.2,8.501,1.6608,0.1981,0.5414,0.642512,10,📉 Best Z (since entry): +2.54 → now -0.31 (bounce ≥0.8). Z-trailing stop. | ⏰ В позиции 6ч = 4.8x HL (1ч). Коинтеграция могла разрушиться. СРОЧНЫЙ ВЫХОД.,3,True,True,⚠️ P-value=0.643 — коинтеграция ослабла!
327,LINK/ICP,LONG,1h,🤖,-3.2408,2.241311,5.2408,2026-03-27T16:31,8.571,2.227,-2.0131,4.0266,-0.0931,4.9,1.0,8.501,2.209,0.123,0.6879,0.532897,10,📉 Best Z (since entry): +0.29 → now -2.01 (bounce ≥0.8). Z-trailing stop. | ⏰ В позиции 5ч = 5.1x HL (1ч). Коинтеграция могла разрушиться. СРОЧНЫЙ ВЫХОД.,3,True,True,⚠️ P-value=0.533 — коинтеграция ослабла!
328,ZRO/POL,LONG,1h,🤖,-4.4536,-4.920614,6.4536,2026-03-27T16:31,2.0459,0.09064,-1.4412,23.9324,-1.5571,4.9,2.4,1.9846,0.08993,0.2899,0.2637,0.360276,10,⏰ В позиции 5ч = 2.0x HL (2ч). Коинтеграция могла разрушиться. СРОЧНЫЙ ВЫХОД.,3,True,True,⚠️ P-value=0.360 — коинтеграция ослабла!
329,XRP/ASTER,LONG,1h,🤖,-2.4868,1.245211,4.486800000000001,2026-03-27T17:21,1.3423,0.66,-0.8417,1.6198,-1.124,4.1,2.0,1.3182,0.6591,0.2929,0.5935,0.286283,10,⏰ В позиции 4ч = 2.1x HL (2ч). Коинтеграция могла разрушиться. СРОЧНЫЙ ВЫХОД.,3,True,True,⚠️ P-value=0.286 — коинтеграция ослабла!
