#,Пара,Dir,TF,Основание,Entry_Z,Entry_HR,Stop_Z,Entry_Time,Entry_Price1,Entry_Price2,Current_Z,Current_HR,P&L_%,Hours_In,HL_hours,Price1_Now,Price2_Now,Hurst,Correlation,P-value,Z_Window,Exit_Signal,Exit_Urgency,Z_Toward_Zero,PnL_Z_Disagree,Quality_Warnings
299,CRV/HBAR,SHORT,4h,🤖,2.6316,2.577033,4.631600000000001,2026-03-25T21:05,0.2397,0.09475,-1.632,2.2174,-1.2326,16.0,10.1,0.222,0.09094,0.3216,0.7759,0.01565,10,✅ OVERSHOOT (static Z) — фиксировать прибыль!,2,True,True,
300,LDO/ETHFI,LONG,4h,🤖,-2.6976,0.437895,4.6975999999999996,2026-03-25T21:05,0.2993,0.5585,-0.6696,0.4245,-1.4328,16.0,8.8,0.2869,0.5246,0.3095,0.5815,0.000262,10,📉 Best Z (since entry): +0.70 → now -0.67 (bounce ≥0.8). Z-trailing stop. | ⏰ В позиции 16ч = 1.8x HL. Если Z не вернулся — рассмотрите выход.,2,True,True,
301,ICP/ATOM,SHORT,4h,🤖,3.8049,0.885427,5.8049,2026-03-25T22:06,2.41,1.7727,-2.1461,0.8723,0.296,14.9,5.7,2.31,1.7159,0.1242,0.6518,0.053234,10,⏰ В позиции 15ч = 2.6x HL (6ч). Коинтеграция могла разрушиться. СРОЧНЫЙ ВЫХОД. | 🎯 OVERSHOOT: Z пересёк 0 и достиг -2.15. P&L=+0.30%. ФИКСИРУЙТЕ ПРИБЫЛЬ!,3,True,False,
302,LDO/IP,LONG,4h,🤖,-2.1248,0.258544,4.1248000000000005,2026-03-25T22:06,0.2991,0.646,-1.0111,0.2593,-2.8937,14.9,6.7,0.2869,0.6225,0.2506,0.4551,0.000344,10,⏰ В позиции 15ч = 2.2x HL (7ч). Коинтеграция могла разрушиться. СРОЧНЫЙ ВЫХОД.,3,True,True,
303,SUI/NEAR,SHORT,4h,🤖,2.0546,0.565083,4.054600000000001,2026-03-25T22:33,0.9664,1.2745,-1.6097,0.5623,0.6893,14.5,5.9,0.9273,1.2217,0.2325,0.7175,0.012392,10,⏰ В позиции 14ч = 2.5x HL (6ч). Коинтеграция могла разрушиться. СРОЧНЫЙ ВЫХОД. | 🎯 OVERSHOOT: Z пересёк 0 и достиг -1.61. P&L=+0.69%. ФИКСИРУЙТЕ ПРИБЫЛЬ!,3,True,False,
304,SUI/VIRTUAL,SHORT,4h,🤖,4.0415,0.961508,6.0415,2026-03-25T23:34,0.9647,0.7246,0.4255,0.9501,-0.913,13.5,7.0,0.9273,0.6878,0.1944,0.7613,0.004176,10,⏰ В позиции 13ч = 1.9x HL. Если Z не вернулся — рассмотрите выход.,2,True,True,
305,DOT/IP,LONG,4h,🤖,-2.1169,1.128618,4.116899999999999,2026-03-26T01:37,1.3513,0.649,-0.1628,1.1138,0.3257,11.4,9.9,1.3099,0.6225,0.2323,0.4692,0.030121,10,⏳ В позиции 11ч = 1.2x HL. Следите за Z.,1,True,False,
307,XRP/ONDO,LONG,4h,🤖,-2.3328,4.737143,4.332800000000001,2026-03-26T02:38,1.4173,0.266,1.1488,4.6139,2.1919,10.4,6.6,1.3706,0.2558,0.2001,0.7792,0.002455,10,⏰ В позиции 10ч = 1.6x HL. Если Z не вернулся — рассмотрите выход. | 🎯 OVERSHOOT: Z пересёк 0 и достиг +1.15. P&L=+2.19%. ФИКСИРУЙТЕ ПРИБЫЛЬ!,2,True,False,
309,LTC/BARD,LONG,4h,🤖,-2.1033,3.627999,4.1033,2026-03-26T05:36,56.17,0.4446,-4.9879,3.6666,3.2066,7.4,8.1,54.82,0.4212,0.2077,0.3315,8e-05,10,🛑 STOP LOSS (static Z) — экстренный выход!,2,False,True,
310,AXS/LIT,LONG,4h,🤖,-2.8035,0.220764,4.8035,2026-03-26T06:35,1.101,0.9916,-1.8823,0.2239,-1.8723,6.5,6.1,1.073,0.9581,0.1908,0.3607,0.005632,10,⏳ В позиции 6ч = 1.1x HL. Следите за Z.,1,True,True,
312,BNB/BCH,LONG,4h,🤖,-1.7605,0.787518,4.0,2026-03-26T06:36,642.1,470.7,-1.3534,0.5699,-0.8574,6.4,3.1,628.9,463.3,0.0602,0.7252,8e-05,10,⏰ В позиции 6ч = 2.1x HL (3ч). Коинтеграция могла разрушиться. СРОЧНЫЙ ВЫХОД.,3,True,True,
313,LINK/BARD,LONG,4h,🤖,-3.5029,1.124337,5.5029,2026-03-26T09:34,9.092,0.4329,-4.4583,1.1332,0.3108,3.5,8.1,8.953,0.4212,0.2283,0.4134,0.015713,10,,0,False,True,
314,ADA/POL,LONG,4h,🤖,-1.6971,1.936443,4.0,2026-03-26T10:40,0.2617,0.09596,-1.4876,1.8793,-0.3786,2.4,8.9,0.2569,0.09502,0.341,0.7441,0.001881,10,,0,True,False,
315,DOGE/DYDX,LONG,4h,🤖,-3.9553,0.649829,5.955299999999999,2026-03-26T10:40,0.09259,0.08701,-2.2139,0.6392,-0.3042,2.4,11.6,0.09154,0.08528,0.2314,0.688,0.001427,10,,0,True,True,
316,LINK/INJ,LONG,4h,🤖,-2.1953,2.071517,4.1953,2026-03-26T10:40,9.098,2.992,-2.6442,2.0517,-0.1299,2.4,4.0,8.953,2.957,0.1287,0.7641,0.040144,10,,0,False,False,
