#,Пара,Dir,TF,Entry_Z,Current_Z,Entry_HR,Current_HR,HR_Drift_%,P&L_%,Hours_In,HL_hours,Hurst,P-value,Z_Toward_Zero,Exit_Signal,Entry_Time,Entry_P1,Entry_P2,Now_P1,Now_P2
299,CRV/HBAR,SHORT,4h,2.6316,-1.6320460320414847,2.577033,2.2173963781038983,14.0,-1.2326,16.0,10.1,0.322,0.0157,True,✅ OVERSHOOT (static Z) — фиксировать при,2026-03-25T21:05:41.419207+03:00,0.2397,0.09475,0.222,0.09094
300,LDO/ETHFI,LONG,4h,-2.6976,-0.6695775909258963,0.437895,0.42449901344260743,3.1,-1.4328,16.0,8.8,0.31,0.0003,True,📉 Best Z (since entry): +0.70 → now -0.6,2026-03-25T21:05:41.926290+03:00,0.2993,0.5585,0.2869,0.5246
301,ICP/ATOM,SHORT,4h,3.8049,-2.1461123169339333,0.885427,0.8722964369807625,1.5,0.296,14.9,5.7,0.124,0.0532,True,⏰ В позиции 15ч = 2.6x HL (6ч). Коинтегр,2026-03-25T22:06:42.005568+03:00,2.41,1.7727,2.31,1.7159
302,LDO/IP,LONG,4h,-2.1248,-1.0110610480919435,0.258544,0.2592838393167819,0.3,-2.8937,14.9,6.7,0.251,0.0003,True,⏰ В позиции 15ч = 2.2x HL (7ч). Коинтегр,2026-03-25T22:06:46.215878+03:00,0.2991,0.646,0.2869,0.6225
303,SUI/NEAR,SHORT,4h,2.0546,-1.609702418405789,0.565083,0.5623039644741401,0.5,0.6893,14.5,5.9,0.232,0.0124,True,⏰ В позиции 14ч = 2.5x HL (6ч). Коинтегр,2026-03-25T22:33:53.419757+03:00,0.9664,1.2745,0.9273,1.2217
304,SUI/VIRTUAL,SHORT,4h,4.0415,0.4254512287711599,0.961508,0.9501211782549058,1.2,-0.913,13.5,7.0,0.194,0.0042,True,⏰ В позиции 13ч = 1.9x HL. Если Z не вер,2026-03-25T23:34:53.697038+03:00,0.9647,0.7246,0.9273,0.6878
305,DOT/IP,LONG,4h,-2.1169,-0.16278698231954605,1.128618,1.1138322567180494,1.3,0.3257,11.4,9.9,0.232,0.0301,True,⏳ В позиции 11ч = 1.2x HL. Следите за Z.,2026-03-26T01:37:54.636299+03:00,1.3513,0.649,1.3099,0.6225
307,XRP/ONDO,LONG,4h,-2.3328,1.1488398107984588,4.737143,4.613916866301334,2.6,2.1919,10.4,6.6,0.2,0.0025,True,⏰ В позиции 10ч = 1.6x HL. Если Z не вер,2026-03-26T02:38:55.135537+03:00,1.4173,0.266,1.3706,0.2558
309,LTC/BARD,LONG,4h,-2.1033,-4.9879449391373285,3.627999,3.6666091817915105,1.1,3.2066,7.4,8.1,0.208,0.0001,False,🛑 STOP LOSS (static Z) — экстренный выхо,2026-03-26T05:36:56.951391+03:00,56.17,0.4446,54.82,0.4212
310,AXS/LIT,LONG,4h,-2.8035,-1.8822661164384156,0.220764,0.22393820108592907,1.4,-1.8723,6.5,6.1,0.191,0.0056,True,⏳ В позиции 6ч = 1.1x HL. Следите за Z.,2026-03-26T06:35:56.938090+03:00,1.101,0.9916,1.073,0.9581
312,BNB/BCH,LONG,4h,-1.7605,-1.353360090376768,0.787518,0.5698524247429602,27.6,-0.8574,6.4,3.1,0.06,0.0001,True,⏰ В позиции 6ч = 2.1x HL (3ч). Коинтегра,2026-03-26T06:36:56.993212+03:00,642.1,470.7,628.9,463.3
313,LINK/BARD,LONG,4h,-3.5029,-4.45827505983236,1.124337,1.1332220826174326,0.8,0.3108,3.5,8.1,0.228,0.0157,False,,2026-03-26T09:34:58.348558+03:00,9.092,0.4329,8.953,0.4212
314,ADA/POL,LONG,4h,-1.6971,-1.4876214289146896,1.936443,1.8792856535602867,3.0,-0.3786,2.4,8.9,0.341,0.0019,True,,2026-03-26T10:40:30.574168+03:00,0.2617,0.09596,0.2569,0.09502
315,DOGE/DYDX,LONG,4h,-3.9553,-2.213895210470415,0.649829,0.6391610083184515,1.6,-0.3042,2.4,11.6,0.231,0.0014,True,,2026-03-26T10:40:34.613334+03:00,0.09259,0.08701,0.09154,0.08528
316,LINK/INJ,LONG,4h,-2.1953,-2.6441736979993027,2.071517,2.0517309053887387,1.0,-0.1299,2.4,4.0,0.129,0.0401,False,,2026-03-26T10:40:36.113366+03:00,9.098,2.992,8.953,2.957
