#,Пара,Dir,TF,Entry_Z,Current_Z,Entry_HR,Current_HR,HR_Drift_%,P&L_%,Hours_In,HL_hours,Hurst,P-value,Z_Toward_Zero,Exit_Signal,Entry_Time,Entry_P1,Entry_P2,Now_P1,Now_P2
284,GAS/AXS,LONG,4h,-1.9016,-0.2117619609329534,0.467257,0.4589158822885449,1.8,-0.4857,12.8,5.7,0.21,0.0076,True,⏰ В позиции 13ч = 2.2x HL (6ч). Коинтегр,2026-03-25T09:51:51.604030+03:00,1.5947,1.1094,1.598,1.1173
286,ONDO/ATOM,SHORT,4h,1.8328,1.0114732389183687,0.120046,0.12446798220251025,3.7,-1.1546,11.7,6.0,0.197,0.0046,True,📉 Best Z (since entry): -0.10 → now +1.0,2026-03-25T10:54:52.564069+03:00,0.2597,1.7919,0.2615,1.7692
288,DOGE/KAS,LONG,4h,-1.951,-0.15779734510666482,2.690291,2.0448737733525406,24.0,-0.0956,6.2,12.0,0.276,0.0005,True,,2026-03-25T16:27:39.564155+03:00,0.09712,0.03869,0.09632,0.03841
290,LINK/ZRO,SHORT,4h,2.11,-0.6847417017195921,1.408576,1.399756813740011,0.6,-1.1729,5.5,6.0,0.21,0.0009,True,🎯 Z пересёк 0 (сейчас -0.68). Можно зафи,2026-03-25T17:06:39.642079+03:00,9.477,2.2102,9.346,2.1593
291,ADA/HBAR,SHORT,4h,2.1161,0.45851219415048,2.840434,2.759218344011889,2.9,-0.7373,4.5,9.5,0.289,0.0005,True,,2026-03-25T18:09:40.031602+03:00,0.2726,0.0952,0.2706,0.09452
292,ADA/SEI,SHORT,4h,3.5417,-1.1364874221171328,3.318972,3.3410977089118883,0.7,-0.053,4.5,8.1,0.251,0.0186,True,🎯 OVERSHOOT: Z пересёк 0 и достиг -1.14.,2026-03-25T18:09:40.354490+03:00,0.2726,0.06075,0.2706,0.06089
294,LTC/BARD,LONG,4h,-2.4924,-0.8027224228354407,3.567231,3.5950549276728614,0.8,-0.5562,3.5,8.0,0.183,0.0001,True,,2026-03-25T19:06:40.862082+03:00,55.88,0.457,56.31,0.4589
295,LTC/BCH,LONG,4h,-2.7131,2.028724484000694,0.099426,0.09605076697515585,3.4,0.3132,3.5,2.9,0.21,0.0002,True,✅ OVERSHOOT (static Z) — фиксировать при,2026-03-25T19:06:41.257979+03:00,55.88,475.1,56.31,474.4
296,XRP/ETHFI,LONG,4h,-2.0271,-1.077864917612555,1.68701,1.6754820977849867,0.7,-0.7622,3.5,8.2,0.278,0.003,True,,2026-03-25T19:06:41.666294+03:00,1.4049,0.5537,1.4122,0.5586
297,DOGE/POL,LONG,4h,-2.1866,-1.0099830998192079,0.792459,0.7934663713040997,0.1,0.1033,2.5,8.7,0.237,0.001,True,✅ MEAN REVERT (static Z) — закрывать!,2026-03-25T20:06:41.018368+03:00,0.09666,0.09922,0.09632,0.09765
298,VIRTUAL/XPL,LONG,4h,-2.205,-4.611009308153476,4.196229,4.193089170193687,0.1,-0.1632,2.5,7.6,0.231,0.0135,False,⚠️ ЛОЖНОЕ СХОЖДЕНИЕ: Z_std→0 но Z_GARCH=,2026-03-25T20:06:41.410814+03:00,0.7411,0.1006,0.7292,0.09992
299,CRV/HBAR,SHORT,4h,2.6316,0.9941697130201591,2.577033,2.5758221422781826,0.0,-0.05,1.6,8.9,0.305,0.0343,True,,2026-03-25T21:05:41.419207+03:00,0.2397,0.09475,0.2352,0.09452
300,LDO/ETHFI,LONG,4h,-2.6976,-2.7624859741308057,0.437895,0.4378238065806188,0.0,-0.4287,1.6,8.7,0.228,0.0001,False,,2026-03-25T21:05:41.926290+03:00,0.2993,0.5585,0.2992,0.5586
301,ICP/ATOM,SHORT,4h,3.8049,3.688190439535479,0.885427,0.8848131279049178,0.1,-0.4047,0.5,5.7,0.104,0.0165,True,,2026-03-25T22:06:42.005568+03:00,2.41,1.7727,2.406,1.7692
302,LDO/IP,LONG,4h,-2.1248,-2.0591189969979653,0.258544,0.25857540059114253,0.0,-0.3671,0.5,6.8,0.234,0.003,True,⚠️ ЛОЖНОЕ СХОЖДЕНИЕ: Z→0 но P&L=-0.37%. ,2026-03-25T22:06:46.215878+03:00,0.2991,0.646,0.2992,0.6458
303,SUI/NEAR,SHORT,4h,2.0546,1.6527789458996311,0.565083,0.565399142414487,0.1,-0.2999,0.1,5.9,0.216,0.0012,True,📉 Best Z (since entry): +0.02 → now +1.6,2026-03-25T22:33:53.419757+03:00,0.9664,1.2745,0.966,1.2771
