#,Пара,Dir,TF,Основание,Entry_Z,Entry_HR,Stop_Z,Entry_Time,Entry_Price1,Entry_Price2,Current_Z,Current_HR,P&L_%,Hours_In,HL_hours,Price1_Now,Price2_Now,Hurst,Correlation,P-value,Z_Window,Exit_Signal,Exit_Urgency,Z_Toward_Zero,PnL_Z_Disagree,Quality_Warnings
279,LTC/XMR,SHORT,4h,🤖,2.5702,0.101213,4.5702,2026-03-25T02:39,56.24,341.94,-0.7406,0.0977,-1.0047,15.3,2.8,56.6,341.07,0.332,0.3233,0.003302,10,📉 Best Z (since entry): -1.90 → now -0.74 (bounce ≥0.8). Z-trailing stop. | ⏰ В позиции 15ч = 5.5x HL (3ч). Коинтеграция могла разрушиться. СРОЧНЫЙ ВЫХОД.,3,True,True,
280,XRP/TON,SHORT,4h,🤖,2.0129,0.803592,4.0129,2026-03-25T02:39,1.4119,1.321,-0.7145,0.8063,0.2828,15.3,6.1,1.4159,1.3459,0.254,0.3682,0.002823,10,⏰ В позиции 15ч = 2.5x HL (6ч). Коинтеграция могла разрушиться. СРОЧНЫЙ ВЫХОД. | 🎯 Z пересёк 0 (сейчас -0.71). Можно зафиксировать или подождать overshoot.,3,True,False,
284,GAS/AXS,LONG,4h,🤖,-1.9016,0.467257,4.0,2026-03-25T09:51,1.5947,1.1094,-0.6661,0.4616,-0.6942,8.1,5.7,1.5991,1.1262,0.1966,0.3613,0.00759,10,⚠️ ЛОЖНОЕ СХОЖДЕНИЕ: Z→0 но P&L=-0.69%. σ спреда выросла. Ждите реального возврата цен.,1,True,True,
286,ONDO/ATOM,SHORT,4h,🤖,1.8328,0.120046,4.0,2026-03-25T10:54,0.2597,1.7919,0.6771,0.1221,-0.9887,7.1,6.2,0.2612,1.7797,0.1914,0.6984,0.007741,10,⏳ В позиции 7ч = 1.2x HL. Следите за Z.,1,True,True,
288,DOGE/KAS,LONG,4h,🤖,-1.951,2.690291,4.0,2026-03-25T16:27,0.09712,0.03869,-0.9938,2.4239,-0.6687,1.5,11.3,0.0969,0.0388,0.2815,0.2511,0.001832,10,,0,True,True,
289,VIRTUAL/XPL,LONG,4h,🤖,-2.6611,4.196285,4.661099999999999,2026-03-25T16:27,0.7404,0.10123,0.6098,4.1999,0.8565,1.6,7.7,0.747,0.09987,0.2392,0.76,0.020702,10,✅ OVERSHOOT (static Z) — фиксировать прибыль!,2,True,False,
290,LINK/ZRO,SHORT,4h,🤖,2.11,1.408576,4.109999999999999,2026-03-25T17:06,9.477,2.2102,0.4704,1.3963,-0.0399,0.9,6.0,9.393,2.2099,0.2125,0.4408,0.002623,10,,0,True,True,
