#,Пара,Dir,TF,Основание,Entry_Z,Entry_HR,Stop_Z,Entry_Time,Entry_Price1,Entry_Price2,Current_Z,Current_HR,P&L_%,Hours_In,HL_hours,Price1_Now,Price2_Now,Hurst,Correlation,P-value,Z_Window,Exit_Signal,Exit_Urgency,Z_Toward_Zero,PnL_Z_Disagree,Quality_Warnings
284,GAS/AXS,LONG,4h,🤖,-1.9016,0.467257,4.0,2026-03-25T09:51,1.5947,1.1094,-0.1664,0.4591,-0.4206,12.7,5.7,1.6008,1.1192,0.2095,0.3652,0.007696,10,⏰ В позиции 13ч = 2.2x HL (6ч). Коинтеграция могла разрушиться. СРОЧНЫЙ ВЫХОД.,3,True,True,
286,ONDO/ATOM,SHORT,4h,🤖,1.8328,0.120046,4.0,2026-03-25T10:54,0.2597,1.7919,0.8359,0.1244,-1.0787,11.6,6.0,0.2613,1.7704,0.1974,0.7077,0.004531,10,📉 Best Z (since entry): -0.10 → now +0.84 (bounce ≥0.8). Z-trailing stop. | ⏰ В позиции 12ч = 1.9x HL. Если Z не вернулся — рассмотрите выход.,2,True,True,
288,DOGE/KAS,LONG,4h,🤖,-1.951,2.690291,4.0,2026-03-25T16:27,0.09712,0.03869,-0.2814,2.0446,-0.3301,6.1,12.0,0.09629,0.03853,0.2756,0.2701,0.0005,10,,0,True,True,
290,LINK/ZRO,SHORT,4h,🤖,2.11,1.408576,4.109999999999999,2026-03-25T17:06,9.477,2.2102,-1.5508,1.3982,-0.875,5.4,6.0,9.339,2.1694,0.2102,0.4465,0.000893,10,🎯 OVERSHOOT: Z пересёк 0 и достиг -1.55. P&L=-0.87%. ФИКСИРУЙТЕ ПРИБЫЛЬ!,2,True,True,
291,ADA/HBAR,SHORT,4h,🤖,2.1161,2.840434,4.116099999999999,2026-03-25T18:09,0.2726,0.0952,0.4768,2.7592,-0.745,4.4,9.5,0.2706,0.09451,0.2886,0.8827,0.000527,10,,0,True,True,
292,ADA/SEI,SHORT,4h,🤖,3.5417,3.318972,5.5417000000000005,2026-03-25T18:09,0.2726,0.06075,-1.0261,3.3411,-0.0783,4.4,8.1,0.2706,0.06087,0.2508,0.7747,0.018642,10,🎯 OVERSHOOT: Z пересёк 0 и достиг -1.03. P&L=-0.08%. ФИКСИРУЙТЕ ПРИБЫЛЬ!,2,True,True,
294,LTC/BARD,LONG,4h,🤖,-2.4924,3.567231,4.4924,2026-03-25T19:06,55.88,0.457,-0.8,3.5949,-0.5221,3.4,8.0,56.31,0.4587,0.1833,0.3226,0.000141,10,,0,True,True,
295,LTC/BCH,LONG,4h,🤖,-2.7131,0.099426,4.7131,2026-03-25T19:06,55.88,475.1,1.5965,0.0959,0.298,3.4,2.9,56.31,475.2,0.2096,0.729,0.000161,10,✅ OVERSHOOT (static Z) — фиксировать прибыль!,2,True,False,
296,XRP/ETHFI,LONG,4h,🤖,-2.0271,1.68701,4.0271,2026-03-25T19:06,1.4049,0.5537,-1.4582,1.671,-1.1372,3.4,8.2,1.4126,0.562,0.2775,0.5426,0.003027,10,,0,True,True,
297,DOGE/POL,LONG,4h,🤖,-2.1866,0.792459,4.1866,2026-03-25T20:06,0.09666,0.09922,-0.8217,0.7935,0.184,2.4,8.7,0.09629,0.09743,0.2366,0.663,0.001001,10,,0,True,False,
298,VIRTUAL/XPL,LONG,4h,🤖,-2.205,4.196229,4.205,2026-03-25T20:06,0.7411,0.1006,-4.3863,4.1934,-0.051,2.4,7.6,0.7295,0.09979,0.231,0.7618,0.013808,10,⚠️ ЛОЖНОЕ СХОЖДЕНИЕ: Z_std→0 но Z_GARCH=-1.5. σ выросла в 2.0x. Реального возврата нет.,1,False,False,
299,CRV/HBAR,SHORT,4h,🤖,2.6316,2.577033,4.631600000000001,2026-03-25T21:05,0.2397,0.09475,0.9211,2.5758,-0.0343,1.4,8.9,0.235,0.09451,0.305,0.7599,0.034471,10,,0,True,True,
300,LDO/ETHFI,LONG,4h,🤖,-2.6976,0.437895,4.6975999999999996,2026-03-25T21:05,0.2993,0.5585,-3.6542,0.4365,-0.7303,1.4,8.7,0.2987,0.562,0.2275,0.5555,0.000147,10,,0,False,False,
301,ICP/ATOM,SHORT,4h,🤖,3.8049,0.885427,5.8049,2026-03-25T22:06,2.41,1.7727,3.1541,0.8843,-0.3069,0.4,5.6,2.403,1.7704,0.1043,0.6551,0.016607,10,,0,True,False,
302,LDO/IP,LONG,4h,🤖,-2.1248,0.258544,4.1248000000000005,2026-03-25T22:06,0.2991,0.646,-2.3761,0.2584,-0.5285,0.4,6.7,0.2987,0.6467,0.2343,0.4347,0.002906,10,⚠️ ЛОЖНОЕ СХОЖДЕНИЕ: Z_std→0 но Z_GARCH=-1.5. σ выросла в 1.2x. Реального возврата нет.,1,False,False,
