#,Пара,Dir,TF,Entry_Z,Current_Z,Entry_HR,Current_HR,HR_Drift_%,P&L_%,Hours_In,HL_hours,Hurst,P-value,Z_Toward_Zero,Exit_Signal,Entry_Time,Entry_P1,Entry_P2,Now_P1,Now_P2
338,ETC/ZRO,SHORT,1h,3.2446,-0.6945468697531217,1.365053,1.3021935428029248,4.6,-1.3532,3.5,1.4,0.287,0.3575,True,⏰ В позиции 3ч = 2.6x HL (1ч). Коинтегра,2026-03-30T06:34:05.780832+03:00,8.15,2.0208,8.206,1.9976
339,ETH/RIVER,SHORT,1h,3.7195,-1.1326042379936352,0.774605,-7.822851741939735,1109.9,-2.0617,1.7,0.7,0.17,0.0547,True,📉 Best Z (since entry): -2.39 → now -1.1,2026-03-30T08:23:06.647408+03:00,2048.38,14.024,2041.69,13.431
340,ETC/ATOM,SHORT,1h,3.6898,-0.9992344422226697,3.019801,3.574508188510928,18.4,-0.3596,0.7,1.4,0.189,0.4451,True,🎯 Z пересёк 0 (сейчас -1.00). Можно зафи,2026-03-30T09:19:07.041998+03:00,8.203,1.6697,8.206,1.6708
341,HBAR/SEI,SHORT,1h,2.4652,-0.5697034766468652,1.101783,0.9707848486996891,11.9,-0.0677,0.7,2.1,0.236,0.3849,True,✅ MEAN REVERT (static Z) — закрывать!,2026-03-30T09:19:09.628923+03:00,0.08969,0.0531,0.08938,0.05327
