#,Пара,Dir,TF,Entry_Z,Current_Z,Entry_HR,Current_HR,HR_Drift_%,P&L_%,Hours_In,HL_hours,Hurst,P-value,Z_Toward_Zero,Exit_Signal,Entry_Time,Entry_P1,Entry_P2,Now_P1,Now_P2
342,UNI/BARD,SHORT,1h,2.8624,-4.31846926745204,0.531401,0.6413955401673113,20.7,0.1517,9.3,2.1,0.285,0.1288,True,📉 Best Z (since entry): -5.33 → now -4.3,2026-03-30T13:25:26.898196+03:00,3.511,0.3625,3.452,0.3568
343,SUI/TIA,SHORT,1h,2.2716,-3.8379903467078185,2.348151,2.4141807767264156,2.8,-1.687,6.4,2.2,0.334,0.0023,True,⏰ В позиции 6ч = 3.0x HL (2ч). Коинтегра,2026-03-30T16:20:28.597423+03:00,0.8864,0.3026,0.8565,0.2927
344,ASTER/XPL,SHORT,1h,4.2337,-0.5063795890540019,1.670844,2.7013924490457084,61.7,-1.3218,0.3,2.4,0.25,0.707,True,⚠️ ЛОЖНОЕ СХОЖДЕНИЕ: Z→0 но P&L=-1.32%. ,2026-03-30T22:28:04.290867+03:00,0.6827,0.08916,0.6752,0.08726
