#,Пара,Dir,TF,Entry_Z,Current_Z,Entry_HR,Current_HR,HR_Drift_%,P&L_%,Hours_In,HL_hours,Hurst,P-value,Z_Toward_Zero,Exit_Signal,Entry_Time,Entry_P1,Entry_P2,Now_P1,Now_P2
317,SUI/MNT,SHORT,1h,1.7492,-2.7205568300984817,0.969737,0.5958253989835033,38.6,0.2711,8.6,2.3,0.332,0.1779,True,⏰ В позиции 9ч = 3.8x HL (2ч). Коинтегра,2026-03-27T01:24:20.158413+03:00,0.9276,0.6971,0.9205,0.7011
319,LINK/LTC,SHORT,1h,2.003,-0.1158873628038664,0.190066,0.25228112875882075,32.7,-0.1237,6.9,0.6,0.132,0.1119,True,⏰ В позиции 7ч = 11.4x HL (1ч). Коинтегр,2026-03-27T03:03:20.930223+03:00,8.908,54.48,8.893,54.94
320,ONDO/SUPER,SHORT,1h,3.1041,-0.5116126784025128,2.122476,1.1725251715709166,44.8,-2.5255,5.3,3.2,0.205,0.1476,True,⏰ В позиции 5ч = 1.7x HL. Если Z не верн,2026-03-27T04:42:21.637116+03:00,0.2795,0.11659,0.2865,0.11432
321,LINK/LIT,SHORT,1h,2.1608,-0.15181461494698137,2.380812,1.50216524889828,36.9,-1.6314,3.6,2.1,0.26,0.6463,True,⏰ В позиции 4ч = 1.7x HL. Если Z не верн,2026-03-27T06:22:22.470894+03:00,8.943,0.8924,8.893,0.8747
322,ASTER/DYDX,LONG,1h,-2.3982,-1.1062923730483467,3.14194,1.9319502644076938,38.5,-0.822,1.1,2.2,0.213,0.7339,True,,2026-03-27T08:53:23.575823+03:00,0.6691,0.09294,0.666,0.09332
